Abuse001_x264: [('Fighting', 0.30537155), ('Shooting', 0.18349612), ('Vandalism', 0.17987147), ('Normal Videos', 0.1674006), ('Arson', 0.16227728), ('Arrest', 0.12186389), ('Explosion', 0.11755353), ('Accident', 0.09152554), ('Abuse', 0.08819868), ('Stealing', 0.08510065), ('Burglary', 0.08301012), ('Robbery', 0.07686375), ('Assault', 0.072600104), ('Shoplifting', 0.047343165)]
Abuse015_x264: [('Fighting', 0.30742392), ('Vandalism', 0.25783202), ('Assault', 0.2027401), ('Normal Videos', 0.19432464), ('Shooting', 0.1894683), ('Arrest', 0.1856059), ('Arson', 0.1821194), ('Robbery', 0.1693956), ('Burglary', 0.16933657), ('Accident', 0.16645628), ('Abuse', 0.163843), ('Stealing', 0.14883485), ('Explosion', 0.12670144), ('Shoplifting', 0.10030336)]
Abuse016_x264: [('Burglary', 0.35539782), ('Vandalism', 0.31686163), ('Shooting', 0.29815558), ('Robbery', 0.289286), ('Assault', 0.28866184), ('Fighting', 0.27782458), ('Shoplifting', 0.27509743), ('Stealing', 0.27064073), ('Arrest', 0.24968968), ('Arson', 0.24940574), ('Normal Videos', 0.24861553), ('Explosion', 0.20938602), ('Abuse', 0.18687704), ('Accident', 0.14351253)]
Abuse017_x264: [('Burglary', 0.39160416), ('Robbery', 0.35828394), ('Stealing', 0.355012), ('Shoplifting', 0.34340617), ('Vandalism', 0.34061033), ('Fighting', 0.30813688), ('Shooting', 0.29998988), ('Assault', 0.2718686), ('Arrest', 0.26755863), ('Normal Videos', 0.23447332), ('Abuse', 0.23017961), ('Arson', 0.19541556), ('Explosion', 0.16748725), ('Accident', 0.16193911)]
Abuse018_x264: [('Robbery', 0.40124658), ('Shoplifting', 0.39376667), ('Arrest', 0.38570175), ('Burglary', 0.376475), ('Stealing', 0.3610881), ('Vandalism', 0.34458745), ('Assault', 0.2532461), ('Accident', 0.2484422), ('Normal Videos', 0.23643735), ('Fighting', 0.227719), ('Shooting', 0.2105724), ('Arson', 0.20345546), ('Abuse', 0.18891886), ('Explosion', 0.1701652)]
Abuse019_x264: [('Fighting', 0.21367396), ('Normal Videos', 0.18887325), ('Shooting', 0.18526915), ('Vandalism', 0.15566333), ('Accident', 0.14026146), ('Burglary', 0.13285086), ('Arson', 0.1282977), ('Abuse', 0.12280685), ('Robbery', 0.10488382), ('Arrest', 0.10389884), ('Stealing', 0.09996334), ('Shoplifting', 0.06960259), ('Explosion', 0.054112278), ('Assault', 0.04686363)]
Abuse020_x264: [('Vandalism', 0.24102418), ('Fighting', 0.21544886), ('Normal Videos', 0.16813631), ('Shooting', 0.15544233), ('Abuse', 0.15436831), ('Arson', 0.14750963), ('Burglary', 0.13809074), ('Accident', 0.12854928), ('Arrest', 0.12691617), ('Robbery', 0.10745105), ('Assault', 0.10297137), ('Stealing', 0.102804124), ('Explosion', 0.07965079), ('Shoplifting', 0.079384565)]
Abuse021_x264: [('Normal Videos', 0.26309997), ('Fighting', 0.25002074), ('Shooting', 0.24352333), ('Vandalism', 0.22699028), ('Burglary', 0.21437272), ('Stealing', 0.17397758), ('Robbery', 0.16365626), ('Arrest', 0.16060576), ('Arson', 0.15971401), ('Shoplifting', 0.14988866), ('Accident', 0.12870726), ('Abuse', 0.107619256), ('Explosion', 0.09695925), ('Assault', 0.09533982)]
Abuse022_x264: [('Normal Videos', 0.23021999), ('Fighting', 0.22046763), ('Assault', 0.21086538), ('Vandalism', 0.19716865), ('Arrest', 0.19694945), ('Burglary', 0.19250074), ('Shoplifting', 0.18110096), ('Robbery', 0.18073632), ('Shooting', 0.17846313), ('Stealing', 0.16162673), ('Accident', 0.15631574), ('Abuse', 0.14159644), ('Arson', 0.09901816), ('Explosion', 0.08524339)]
Abuse023_x264: [('Fighting', 0.48345533), ('Vandalism', 0.37987703), ('Assault', 0.34895128), ('Abuse', 0.3254763), ('Arrest', 0.30197567), ('Arson', 0.2952791), ('Shooting', 0.29015177), ('Explosion', 0.28939757), ('Burglary', 0.26188883), ('Robbery', 0.24560012), ('Stealing', 0.22246662), ('Shoplifting', 0.20919563), ('Accident', 0.16773984), ('Normal Videos', 0.157165)]
Abuse024_x264: [('Shoplifting', 0.34161496), ('Burglary', 0.33570522), ('Robbery', 0.32449466), ('Stealing', 0.2830779), ('Arrest', 0.27150714), ('Assault', 0.2364207), ('Shooting', 0.23193803), ('Normal Videos', 0.22278607), ('Vandalism', 0.20659137), ('Fighting', 0.17808363), ('Explosion', 0.12128538), ('Abuse', 0.10293538), ('Arson', 0.096328355), ('Accident', 0.08017567)]
Abuse025_x264: [('Fighting', 0.16215202), ('Vandalism', 0.13497615), ('Shooting', 0.12014544), ('Normal Videos', 0.11010621), ('Burglary', 0.09943204), ('Arrest', 0.09887888), ('Arson', 0.097834185), ('Stealing', 0.09456748), ('Abuse', 0.09124638), ('Accident', 0.08126409), ('Robbery', 0.08072576), ('Assault', 0.07830885), ('Shoplifting', 0.06513339), ('Explosion', 0.06382844)]
Abuse026_x264: [('Vandalism', 0.359891), ('Fighting', 0.28297585), ('Burglary', 0.24549527), ('Robbery', 0.2395482), ('Normal Videos', 0.22867957), ('Arson', 0.222392), ('Shooting', 0.2178058), ('Stealing', 0.21448524), ('Shoplifting', 0.20599705), ('Accident', 0.18781275), ('Explosion', 0.16243911), ('Abuse', 0.15108216), ('Arrest', 0.13806206), ('Assault', 0.12698403)]
Abuse027_x264: [('Fighting', 0.20685284), ('Normal Videos', 0.16506296), ('Burglary', 0.15549333), ('Shooting', 0.14004076), ('Stealing', 0.13021977), ('Vandalism', 0.11975227), ('Robbery', 0.11345622), ('Abuse', 0.11100638), ('Arson', 0.10717017), ('Shoplifting', 0.10266023), ('Accident', 0.0991067), ('Arrest', 0.091990374), ('Assault', 0.050335657), ('Explosion', 0.035455357)]
Abuse028_x264: [('Vandalism', 0.26912725), ('Burglary', 0.26290327), ('Shooting', 0.21269898), ('Arrest', 0.20932786), ('Fighting', 0.2035017), ('Robbery', 0.1900573), ('Normal Videos', 0.18258563), ('Assault', 0.18239006), ('Shoplifting', 0.17795345), ('Stealing', 0.17368297), ('Arson', 0.16374657), ('Explosion', 0.12686674), ('Abuse', 0.10085387), ('Accident', 0.07256578)]
Abuse029_x264: [('Burglary', 0.28168514), ('Robbery', 0.27319676), ('Vandalism', 0.2686595), ('Shoplifting', 0.24675882), ('Stealing', 0.22037113), ('Normal Videos', 0.200452), ('Explosion', 0.19769023), ('Arson', 0.19613355), ('Arrest', 0.17846847), ('Accident', 0.16944027), ('Abuse', 0.16517548), ('Fighting', 0.15093243), ('Assault', 0.14632683), ('Shooting', 0.1294799)]
Abuse030_x264: [('Burglary', 0.32224312), ('Vandalism', 0.30008924), ('Shoplifting', 0.26785463), ('Robbery', 0.2606821), ('Stealing', 0.24135438), ('Normal Videos', 0.23583062), ('Shooting', 0.22300208), ('Arrest', 0.21618369), ('Accident', 0.1879933), ('Arson', 0.17918062), ('Fighting', 0.16406667), ('Assault', 0.1611581), ('Explosion', 0.14091782), ('Abuse', 0.09619028)]
Abuse031_x264: [('Vandalism', 0.26917416), ('Fighting', 0.22445145), ('Accident', 0.19486344), ('Normal Videos', 0.18182158), ('Arson', 0.18003154), ('Burglary', 0.16647974), ('Robbery', 0.1642532), ('Explosion', 0.16330057), ('Arrest', 0.15547937), ('Shooting', 0.1526388), ('Assault', 0.14071634), ('Stealing', 0.13670345), ('Abuse', 0.13650963), ('Shoplifting', 0.12102363)]
Abuse032_x264: [('Fighting', 0.20620932), ('Abuse', 0.20490476), ('Normal Videos', 0.17652501), ('Arrest', 0.17614934), ('Vandalism', 0.17563382), ('Shooting', 0.14871097), ('Accident', 0.13726507), ('Arson', 0.13135822), ('Burglary', 0.123691626), ('Assault', 0.11716378), ('Robbery', 0.10085334), ('Explosion', 0.07474175), ('Stealing', 0.07213876), ('Shoplifting', 0.029651176)]
Abuse033_x264: [('Fighting', 0.25581697), ('Arrest', 0.1867634), ('Normal Videos', 0.1847956), ('Vandalism', 0.16910715), ('Shooting', 0.16101137), ('Accident', 0.15903117), ('Arson', 0.14228797), ('Abuse', 0.12853344), ('Burglary', 0.100188896), ('Robbery', 0.08531642), ('Stealing', 0.07610018), ('Explosion', 0.07005349), ('Assault', 0.058948837), ('Shoplifting', 0.04420681)]
Abuse034_x264: [('Vandalism', 0.39152423), ('Fighting', 0.32088286), ('Burglary', 0.29786468), ('Stealing', 0.28068477), ('Robbery', 0.27761075), ('Shooting', 0.2686294), ('Arson', 0.25298843), ('Shoplifting', 0.24917167), ('Assault', 0.23069751), ('Normal Videos', 0.22209087), ('Explosion', 0.21729904), ('Abuse', 0.18737704), ('Arrest', 0.18186346), ('Accident', 0.1776375)]
Abuse035_x264: [('Fighting', 0.24302328), ('Normal Videos', 0.21736994), ('Shooting', 0.17723493), ('Vandalism', 0.17551127), ('Arrest', 0.16086408), ('Stealing', 0.15726998), ('Burglary', 0.1537961), ('Shoplifting', 0.1424805), ('Abuse', 0.14000192), ('Robbery', 0.13247994), ('Assault', 0.12968655), ('Arson', 0.1249682), ('Accident', 0.07807794), ('Explosion', 0.06316362)]
Abuse036_x264: [('Fighting', 0.25492126), ('Shooting', 0.22401807), ('Normal Videos', 0.21870357), ('Vandalism', 0.19377308), ('Arson', 0.1838523), ('Accident', 0.1789909), ('Explosion', 0.17592639), ('Arrest', 0.16207722), ('Abuse', 0.14714943), ('Assault', 0.11890741), ('Burglary', 0.11554307), ('Robbery', 0.112174034), ('Stealing', 0.07332085), ('Shoplifting', 0.029148258)]
Abuse037_x264: [('Vandalism', 0.2872117), ('Fighting', 0.23289749), ('Normal Videos', 0.2153918), ('Arson', 0.21377634), ('Shooting', 0.20180765), ('Explosion', 0.19635978), ('Burglary', 0.18174079), ('Robbery', 0.17140105), ('Assault', 0.1620336), ('Abuse', 0.16132313), ('Arrest', 0.15604582), ('Stealing', 0.14893812), ('Accident', 0.13814117), ('Shoplifting', 0.12761047)]
Abuse038_x264: [('Normal Videos', 0.3196676), ('Vandalism', 0.2825122), ('Shooting', 0.25679952), ('Burglary', 0.24764092), ('Arrest', 0.23434684), ('Arson', 0.22839992), ('Robbery', 0.22792187), ('Explosion', 0.20545357), ('Fighting', 0.20251097), ('Stealing', 0.1819771), ('Shoplifting', 0.18006308), ('Accident', 0.17968175), ('Assault', 0.15484591), ('Abuse', 0.14421353)]
Abuse039_x264: [('Arrest', 0.33050656), ('Shooting', 0.28144956), ('Fighting', 0.28069404), ('Vandalism', 0.27757627), ('Accident', 0.2256153), ('Explosion', 0.22514516), ('Normal Videos', 0.2179578), ('Arson', 0.21447712), ('Assault', 0.21434405), ('Robbery', 0.21014878), ('Burglary', 0.20368928), ('Abuse', 0.18684639), ('Stealing', 0.16253138), ('Shoplifting', 0.12920688)]
Abuse040_x264: [('Fighting', 0.29471248), ('Vandalism', 0.27231598), ('Shooting', 0.22995883), ('Arson', 0.21272731), ('Explosion', 0.2085231), ('Normal Videos', 0.18539941), ('Accident', 0.17456144), ('Arrest', 0.15813309), ('Abuse', 0.15728913), ('Assault', 0.13524836), ('Robbery', 0.13208133), ('Burglary', 0.1283664), ('Stealing', 0.11366199), ('Shoplifting', 0.05714401)]
Abuse041_x264: [('Normal Videos', 0.2800159), ('Shooting', 0.24778187), ('Fighting', 0.23940733), ('Vandalism', 0.23696662), ('Arson', 0.19641292), ('Arrest', 0.19251502), ('Explosion', 0.1892049), ('Burglary', 0.17081106), ('Robbery', 0.13488975), ('Accident', 0.13482416), ('Stealing', 0.1277732), ('Assault', 0.12767988), ('Shoplifting', 0.10546668), ('Abuse', 0.10395455)]
Abuse042_x264: [('Normal Videos', 0.13534194), ('Fighting', 0.113342136), ('Accident', 0.0728178), ('Abuse', 0.06703252), ('Shooting', 0.05894266), ('Burglary', 0.048073586), ('Arson', 0.047231123), ('Vandalism', 0.045416825), ('Stealing', 0.043580376), ('Assault', 0.04007352), ('Robbery', 0.028191099), ('Shoplifting', 0.027309734), ('Explosion', 0.023991294), ('Arrest', -0.009046562)]
Abuse043_x264: [('Fighting', 0.29718012), ('Vandalism', 0.27223194), ('Burglary', 0.25862145), ('Abuse', 0.251346), ('Shooting', 0.24113595), ('Normal Videos', 0.23361862), ('Arson', 0.21582434), ('Stealing', 0.21293697), ('Robbery', 0.21277107), ('Accident', 0.20081782), ('Shoplifting', 0.18571831), ('Arrest', 0.1762949), ('Explosion', 0.16329291), ('Assault', 0.1436423)]
Abuse044_x264: [('Fighting', 0.24341592), ('Shooting', 0.22331005), ('Normal Videos', 0.20495844), ('Vandalism', 0.17851828), ('Burglary', 0.16399288), ('Arson', 0.15849471), ('Abuse', 0.14908278), ('Robbery', 0.14075315), ('Arrest', 0.13298878), ('Accident', 0.13032334), ('Stealing', 0.12656802), ('Shoplifting', 0.08844624), ('Assault', 0.08223636), ('Explosion', 0.070234925)]
Abuse045_x264: [('Normal Videos', 0.19346938), ('Fighting', 0.1739671), ('Burglary', 0.12968776), ('Vandalism', 0.12439203), ('Shooting', 0.110738784), ('Stealing', 0.10400489), ('Abuse', 0.09823362), ('Accident', 0.096817434), ('Robbery', 0.08688672), ('Arson', 0.08026424), ('Arrest', 0.0756177), ('Shoplifting', 0.07397025), ('Assault', 0.040503886), ('Explosion', 0.02805016)]
Abuse046_x264: [('Vandalism', 0.32323155), ('Abuse', 0.29883555), ('Burglary', 0.21760863), ('Assault', 0.21634513), ('Robbery', 0.21003453), ('Arrest', 0.20004678), ('Stealing', 0.19090238), ('Arson', 0.18969777), ('Accident', 0.18584216), ('Shoplifting', 0.18082443), ('Normal Videos', 0.14970604), ('Explosion', 0.13583526), ('Shooting', 0.13166833), ('Fighting', 0.12174144)]
Abuse047_x264: [('Normal Videos', 0.30859247), ('Shooting', 0.29698992), ('Vandalism', 0.29655418), ('Accident', 0.28780663), ('Burglary', 0.27875406), ('Fighting', 0.27519965), ('Robbery', 0.25334722), ('Stealing', 0.2299372), ('Arson', 0.2204908), ('Arrest', 0.2179203), ('Shoplifting', 0.20402378), ('Explosion', 0.20228973), ('Assault', 0.19201517), ('Abuse', 0.1909945)]
Abuse048_x264: [('Vandalism', 0.20347166), ('Arrest', 0.1809672), ('Fighting', 0.17211702), ('Shooting', 0.15317686), ('Normal Videos', 0.13682544), ('Arson', 0.1164207), ('Abuse', 0.11389172), ('Assault', 0.10679275), ('Accident', 0.106317475), ('Burglary', 0.10317774), ('Robbery', 0.09988576), ('Explosion', 0.06875933), ('Stealing', 0.059789747), ('Shoplifting', 0.047210943)]
Abuse049_x264: [('Vandalism', 0.26021686), ('Normal Videos', 0.25158867), ('Fighting', 0.23440132), ('Shooting', 0.22928041), ('Arson', 0.19818884), ('Arrest', 0.17571947), ('Burglary', 0.16705272), ('Accident', 0.16334237), ('Abuse', 0.15798137), ('Explosion', 0.15284114), ('Robbery', 0.14124253), ('Assault', 0.13492768), ('Stealing', 0.11846456), ('Shoplifting', 0.09269727)]
Abuse050_x264: [('Accident', 0.23506886), ('Normal Videos', 0.19577128), ('Vandalism', 0.19127685), ('Fighting', 0.18450938), ('Arrest', 0.18222627), ('Robbery', 0.16022864), ('Abuse', 0.1599355), ('Shoplifting', 0.14803249), ('Burglary', 0.1352644), ('Stealing', 0.13463125), ('Assault', 0.118343994), ('Shooting', 0.08428499), ('Arson', 0.06243157), ('Explosion', 0.050219916)]
Arrest001_x264: [('Burglary', 0.375687), ('Robbery', 0.3389614), ('Stealing', 0.31447116), ('Vandalism', 0.30633855), ('Shoplifting', 0.30631444), ('Normal Videos', 0.29870427), ('Shooting', 0.28969398), ('Arrest', 0.28571036), ('Fighting', 0.23860924), ('Arson', 0.19293037), ('Assault', 0.18414041), ('Explosion', 0.17206106), ('Accident', 0.16432337), ('Abuse', 0.13409996)]
Arrest002_x264: [('Fighting', 0.32922915), ('Vandalism', 0.32856846), ('Shooting', 0.2787881), ('Arson', 0.25323105), ('Explosion', 0.2460066), ('Burglary', 0.22578529), ('Assault', 0.22568661), ('Arrest', 0.2054957), ('Robbery', 0.20547076), ('Normal Videos', 0.2043162), ('Abuse', 0.19146362), ('Stealing', 0.1729587), ('Accident', 0.158084), ('Shoplifting', 0.14535302)]
Arrest003_x264: [('Vandalism', 0.37128764), ('Burglary', 0.35283864), ('Arrest', 0.3525638), ('Robbery', 0.3437886), ('Shoplifting', 0.3044993), ('Stealing', 0.3042902), ('Fighting', 0.28912714), ('Accident', 0.2803025), ('Shooting', 0.26732212), ('Assault', 0.24591601), ('Normal Videos', 0.23998433), ('Abuse', 0.2186513), ('Arson', 0.21450144), ('Explosion', 0.20226052)]
Arrest004_x264: [('Vandalism', 0.36999488), ('Accident', 0.33312884), ('Fighting', 0.32972863), ('Robbery', 0.3141122), ('Burglary', 0.29787475), ('Stealing', 0.2763145), ('Shooting', 0.27481264), ('Shoplifting', 0.2650083), ('Assault', 0.2562436), ('Arrest', 0.2511895), ('Abuse', 0.2493814), ('Arson', 0.23531246), ('Explosion', 0.22891788), ('Normal Videos', 0.19588158)]
Arrest005_x264: [('Robbery', 0.3200791), ('Shoplifting', 0.31211603), ('Burglary', 0.3036026), ('Stealing', 0.2781268), ('Arrest', 0.27776462), ('Vandalism', 0.26275545), ('Fighting', 0.25678664), ('Normal Videos', 0.24202152), ('Shooting', 0.21942142), ('Abuse', 0.19428398), ('Arson', 0.18238929), ('Assault', 0.17937003), ('Accident', 0.15410244), ('Explosion', 0.13833193)]
Arrest006_x264: [('Vandalism', 0.33449882), ('Robbery', 0.3056385), ('Arrest', 0.29454237), ('Shooting', 0.2941417), ('Burglary', 0.28320122), ('Accident', 0.27326915), ('Assault', 0.26293814), ('Stealing', 0.24340664), ('Fighting', 0.24201539), ('Arson', 0.23870072), ('Explosion', 0.2343265), ('Shoplifting', 0.23369071), ('Normal Videos', 0.2209259), ('Abuse', 0.21597588)]
Arrest007_x264: [('Vandalism', 0.3117618), ('Burglary', 0.27639472), ('Shooting', 0.26809913), ('Normal Videos', 0.25889522), ('Fighting', 0.24874894), ('Arrest', 0.22813892), ('Robbery', 0.22744983), ('Arson', 0.22286749), ('Stealing', 0.21978164), ('Shoplifting', 0.20721382), ('Explosion', 0.19612205), ('Assault', 0.1666894), ('Abuse', 0.13894546), ('Accident', 0.12502962)]
Arrest008_x264: [('Vandalism', 0.25814337), ('Normal Videos', 0.21191227), ('Burglary', 0.20123781), ('Arson', 0.19131234), ('Shooting', 0.1812489), ('Robbery', 0.17900455), ('Stealing', 0.17245486), ('Accident', 0.17100738), ('Shoplifting', 0.16853562), ('Fighting', 0.16630942), ('Explosion', 0.14344004), ('Arrest', 0.13912821), ('Abuse', 0.12315987), ('Assault', 0.11943716)]
Arrest009_x264: [('Burglary', 0.48347995), ('Robbery', 0.4597058), ('Shoplifting', 0.44227657), ('Stealing', 0.40735406), ('Arrest', 0.401809), ('Vandalism', 0.37522215), ('Shooting', 0.32256413), ('Assault', 0.29823777), ('Normal Videos', 0.26005393), ('Fighting', 0.23818424), ('Arson', 0.2212547), ('Abuse', 0.21402548), ('Accident', 0.21140647), ('Explosion', 0.20613225)]
Arrest010_x264: [('Vandalism', 0.29140615), ('Shooting', 0.2015582), ('Fighting', 0.20110351), ('Arrest', 0.19343442), ('Normal Videos', 0.19068494), ('Burglary', 0.18658894), ('Explosion', 0.17782861), ('Robbery', 0.17373389), ('Shoplifting', 0.16403596), ('Stealing', 0.15000442), ('Assault', 0.14771757), ('Abuse', 0.14623), ('Arson', 0.13762382), ('Accident', 0.13204953)]
Arrest011_x264: [('Arrest', 0.38831198), ('Vandalism', 0.36701643), ('Robbery', 0.34409976), ('Burglary', 0.30848274), ('Fighting', 0.2980889), ('Shoplifting', 0.2908008), ('Stealing', 0.28896376), ('Assault', 0.2595838), ('Abuse', 0.24736424), ('Shooting', 0.23866965), ('Arson', 0.23028761), ('Normal Videos', 0.22657678), ('Accident', 0.2080986), ('Explosion', 0.1743053)]
Arrest012_x264: [('Vandalism', 0.306076), ('Fighting', 0.2522958), ('Stealing', 0.18525669), ('Shoplifting', 0.17460644), ('Robbery', 0.1743559), ('Shooting', 0.16912553), ('Normal Videos', 0.15135548), ('Burglary', 0.14938168), ('Arrest', 0.13906641), ('Arson', 0.11992134), ('Accident', 0.11744204), ('Abuse', 0.115520105), ('Assault', 0.10617939), ('Explosion', 0.08000188)]
Arrest013_x264: [('Burglary', 0.34473425), ('Vandalism', 0.30406654), ('Robbery', 0.28703624), ('Shoplifting', 0.27573115), ('Stealing', 0.26451492), ('Arrest', 0.22196229), ('Shooting', 0.21812394), ('Accident', 0.16945794), ('Normal Videos', 0.16180828), ('Assault', 0.15899874), ('Arson', 0.14664528), ('Fighting', 0.14588043), ('Abuse', 0.12927341), ('Explosion', 0.11042369)]
Arrest014_x264: [('Burglary', 0.33796442), ('Normal Videos', 0.33755076), ('Shooting', 0.31910235), ('Shoplifting', 0.3121377), ('Robbery', 0.31070006), ('Arrest', 0.2895035), ('Vandalism', 0.28064203), ('Stealing', 0.2756198), ('Fighting', 0.218268), ('Assault', 0.2172673), ('Explosion', 0.21664712), ('Arson', 0.2106849), ('Accident', 0.1727671), ('Abuse', 0.14417666)]
Arrest015_x264: [('Vandalism', 0.37470278), ('Fighting', 0.2725273), ('Explosion', 0.2642873), ('Arson', 0.26106873), ('Accident', 0.25165704), ('Normal Videos', 0.2500583), ('Burglary', 0.24235088), ('Shooting', 0.23698205), ('Robbery', 0.23431858), ('Arrest', 0.23293361), ('Abuse', 0.20934016), ('Stealing', 0.1921601), ('Assault', 0.17240712), ('Shoplifting', 0.17227572)]
Arrest016_x264: [('Vandalism', 0.36187446), ('Burglary', 0.30849838), ('Robbery', 0.30179185), ('Stealing', 0.3015043), ('Shoplifting', 0.28949225), ('Fighting', 0.27853715), ('Accident', 0.26613003), ('Shooting', 0.26124793), ('Assault', 0.23901853), ('Arrest', 0.23371042), ('Arson', 0.21493107), ('Abuse', 0.19156858), ('Normal Videos', 0.18851176), ('Explosion', 0.15060605)]
