Abuse001_x264: [('Fighting', 0.2473864), ('Assault', 0.24733552), ('Abuse', 0.22662574), ('Explosion', 0.2183716), ('Burglary', 0.21833363), ('Arrest', 0.19959828), ('Vandalism', 0.19219466), ('Robbery', 0.18040663), ('Normal_Videos_', 0.1694072), ('Arson', 0.15237531), ('RoadAccidents', 0.1517644), ('Shooting', 0.14273702), ('Stealing', 0.13822368), ('Shoplifting', 0.11471912)]
Abuse013_x264: [('Fighting', 0.30731863), ('Abuse', 0.2864092), ('Assault', 0.2859363), ('Vandalism', 0.2076288), ('Arrest', 0.19537467), ('Stealing', 0.18852934), ('Explosion', 0.17667693), ('Robbery', 0.17628255), ('Burglary', 0.16276999), ('Shoplifting', 0.15423603), ('Normal_Videos_', 0.1537643), ('RoadAccidents', 0.15124594), ('Shooting', 0.14636624), ('Arson', 0.12710652)]
Abuse014_x264: [('RoadAccidents', 0.32405192), ('Explosion', 0.23573214), ('Stealing', 0.23384398), ('Abuse', 0.229503), ('Burglary', 0.22061104), ('Robbery', 0.2108401), ('Vandalism', 0.20780043), ('Arrest', 0.20668405), ('Arson', 0.19721916), ('Shoplifting', 0.18088314), ('Normal_Videos_', 0.16581088), ('Assault', 0.1600275), ('Fighting', 0.14388806), ('Shooting', 0.12644944)]
Abuse015_x264: [('Arrest', 0.35841405), ('Assault', 0.28661406), ('Abuse', 0.25978673), ('Robbery', 0.25075388), ('Burglary', 0.24173328), ('Fighting', 0.23117396), ('RoadAccidents', 0.22426876), ('Stealing', 0.19933046), ('Vandalism', 0.19242002), ('Explosion', 0.18976131), ('Shoplifting', 0.18958494), ('Normal_Videos_', 0.14343315), ('Shooting', 0.13958322), ('Arson', 0.1376602)]
Abuse016_x264: [('Burglary', 0.32515714), ('RoadAccidents', 0.2799121), ('Vandalism', 0.26760805), ('Robbery', 0.25578958), ('Arrest', 0.2497379), ('Assault', 0.24288826), ('Abuse', 0.2259475), ('Fighting', 0.21854413), ('Stealing', 0.19594902), ('Shooting', 0.19308549), ('Shoplifting', 0.18540835), ('Explosion', 0.1813415), ('Arson', 0.1753806), ('Normal_Videos_', 0.14929357)]
Abuse017_x264: [('Abuse', 0.38912755), ('Assault', 0.37572396), ('Arrest', 0.30499935), ('Vandalism', 0.26211736), ('Fighting', 0.25039014), ('Robbery', 0.23675554), ('Shoplifting', 0.23646073), ('Burglary', 0.22669876), ('RoadAccidents', 0.22206649), ('Stealing', 0.16484198), ('Arson', 0.14068602), ('Explosion', 0.13935621), ('Normal_Videos_', 0.12917106), ('Shooting', 0.11002527)]
Abuse018_x264: [('Arrest', 0.45142984), ('RoadAccidents', 0.39159027), ('Assault', 0.3547778), ('Robbery', 0.30597943), ('Burglary', 0.27908432), ('Abuse', 0.2574675), ('Vandalism', 0.23634782), ('Explosion', 0.22659725), ('Fighting', 0.22202928), ('Shoplifting', 0.20280308), ('Arson', 0.19834748), ('Shooting', 0.19567335), ('Stealing', 0.18811598), ('Normal_Videos_', 0.1642368)]
Abuse019_x264: [('Abuse', 0.33099234), ('Assault', 0.3006515), ('Fighting', 0.2798047), ('Burglary', 0.2231954), ('Robbery', 0.22204109), ('Arrest', 0.2142702), ('Vandalism', 0.20096485), ('Stealing', 0.19250897), ('Explosion', 0.1538184), ('Arson', 0.14227927), ('Shoplifting', 0.14196315), ('RoadAccidents', 0.12736593), ('Shooting', 0.10424575), ('Normal_Videos_', 0.082471535)]
Abuse020_x264: [('Assault', 0.37079743), ('Burglary', 0.32547617), ('Abuse', 0.3218933), ('Robbery', 0.28979847), ('Arrest', 0.26166433), ('Vandalism', 0.2616203), ('Fighting', 0.25880054), ('Stealing', 0.2211181), ('Shoplifting', 0.2197405), ('Arson', 0.19852047), ('RoadAccidents', 0.17328942), ('Explosion', 0.15894088), ('Shooting', 0.1432475), ('Normal_Videos_', 0.124890536)]
Abuse021_x264: [('Abuse', 0.20746604), ('Assault', 0.1948326), ('Burglary', 0.1941119), ('RoadAccidents', 0.19322999), ('Robbery', 0.19011423), ('Explosion', 0.17367697), ('Vandalism', 0.16805723), ('Fighting', 0.1672461), ('Stealing', 0.16125837), ('Arrest', 0.16082168), ('Shoplifting', 0.15828992), ('Normal_Videos_', 0.13481677), ('Arson', 0.12725362), ('Shooting', 0.12026359)]
Abuse022_x264: [('Assault', 0.2991385), ('Abuse', 0.28516495), ('Vandalism', 0.2552134), ('RoadAccidents', 0.25053197), ('Fighting', 0.24209955), ('Arrest', 0.23516172), ('Explosion', 0.21733502), ('Robbery', 0.21430239), ('Burglary', 0.21208397), ('Shoplifting', 0.1743339), ('Shooting', 0.17003047), ('Stealing', 0.15849398), ('Arson', 0.15323828), ('Normal_Videos_', 0.13867916)]
Abuse023_x264: [('Fighting', 0.42037314), ('Assault', 0.41000736), ('Burglary', 0.33081335), ('Arrest', 0.30545908), ('Vandalism', 0.29218143), ('Abuse', 0.28826094), ('RoadAccidents', 0.22878118), ('Explosion', 0.22389251), ('Robbery', 0.22224636), ('Shooting', 0.19825825), ('Shoplifting', 0.18956053), ('Normal_Videos_', 0.18705675), ('Arson', 0.17548458), ('Stealing', 0.14981541)]
Abuse024_x264: [('Shoplifting', 0.382801), ('Assault', 0.32841188), ('Robbery', 0.3127862), ('RoadAccidents', 0.3119716), ('Burglary', 0.30766892), ('Vandalism', 0.28992584), ('Fighting', 0.27263436), ('Abuse', 0.26955327), ('Stealing', 0.25787276), ('Arrest', 0.2164521), ('Arson', 0.1821672), ('Explosion', 0.17326586), ('Shooting', 0.17121743), ('Normal_Videos_', 0.15125988)]
Abuse025_x264: [('Abuse', 0.22559102), ('Arson', 0.21846105), ('Arrest', 0.20694785), ('Explosion', 0.20389205), ('Assault', 0.17990232), ('Vandalism', 0.16282606), ('Fighting', 0.16174075), ('Normal_Videos_', 0.15227436), ('Burglary', 0.1425634), ('Shoplifting', 0.13508746), ('Stealing', 0.12940857), ('RoadAccidents', 0.12768471), ('Shooting', 0.11344415), ('Robbery', 0.07430829)]
Abuse026_x264: [('Assault', 0.44001377), ('Abuse', 0.43061948), ('Vandalism', 0.2873595), ('Arrest', 0.27760768), ('RoadAccidents', 0.27692038), ('Fighting', 0.26852846), ('Burglary', 0.26225308), ('Robbery', 0.23718946), ('Arson', 0.20717484), ('Explosion', 0.19856367), ('Shoplifting', 0.18117037), ('Stealing', 0.15767106), ('Normal_Videos_', 0.14381886), ('Shooting', 0.11737693)]
Abuse027_x264: [('Abuse', 0.14059106), ('Explosion', 0.13996013), ('Fighting', 0.13657892), ('Stealing', 0.13511804), ('Normal_Videos_', 0.13336942), ('Assault', 0.09996249), ('Robbery', 0.09959827), ('Arson', 0.08783215), ('Arrest', 0.08399326), ('Shoplifting', 0.07454752), ('Shooting', 0.0732349), ('Burglary', 0.06544038), ('Vandalism', 0.06159036), ('RoadAccidents', 0.056033883)]
Abuse028_x264: [('Burglary', 0.28879237), ('Fighting', 0.218627), ('Vandalism', 0.21165022), ('Assault', 0.20907125), ('Robbery', 0.2030322), ('Arrest', 0.20213006), ('Abuse', 0.18609473), ('RoadAccidents', 0.1817949), ('Arson', 0.17125562), ('Normal_Videos_', 0.166476), ('Explosion', 0.16394639), ('Stealing', 0.16109101), ('Shoplifting', 0.16108064), ('Shooting', 0.14383563)]
Abuse029_x264: [('Burglary', 0.21160093), ('Arrest', 0.17730221), ('Fighting', 0.15674406), ('Explosion', 0.14592758), ('Normal_Videos_', 0.1441887), ('Assault', 0.14356017), ('Robbery', 0.13393682), ('Stealing', 0.13314928), ('Shoplifting', 0.12157617), ('Vandalism', 0.12052792), ('Shooting', 0.11610844), ('Abuse', 0.113025896), ('Arson', 0.0945144), ('RoadAccidents', 0.031787656)]
Abuse030_x264: [('RoadAccidents', 0.30116493), ('Burglary', 0.2578876), ('Arrest', 0.2549448), ('Assault', 0.2540496), ('Normal_Videos_', 0.2519396), ('Vandalism', 0.23375475), ('Abuse', 0.23132427), ('Shoplifting', 0.21961729), ('Shooting', 0.21156368), ('Fighting', 0.2087478), ('Stealing', 0.2024115), ('Robbery', 0.19508892), ('Explosion', 0.18176067), ('Arson', 0.17813474)]
Abuse031_x264: [('Burglary', 0.3038187), ('Arrest', 0.2916119), ('RoadAccidents', 0.283952), ('Assault', 0.27580702), ('Abuse', 0.25492197), ('Robbery', 0.24465227), ('Vandalism', 0.24116153), ('Fighting', 0.22942182), ('Stealing', 0.2232503), ('Explosion', 0.21598643), ('Shooting', 0.19330576), ('Arson', 0.18950152), ('Shoplifting', 0.1805779), ('Normal_Videos_', 0.15726389)]
Abuse032_x264: [('Assault', 0.3660543), ('Abuse', 0.35511), ('Burglary', 0.31077045), ('Vandalism', 0.2900927), ('Arrest', 0.2685572), ('Robbery', 0.25125492), ('Fighting', 0.24339493), ('Arson', 0.20763662), ('Stealing', 0.20346661), ('Shoplifting', 0.20084925), ('RoadAccidents', 0.19245784), ('Explosion', 0.17485353), ('Normal_Videos_', 0.16017364), ('Shooting', 0.12882125)]
Abuse033_x264: [('Abuse', 0.34865338), ('Fighting', 0.34439093), ('Assault', 0.33069503), ('Arrest', 0.23337936), ('Vandalism', 0.21006809), ('Burglary', 0.20225337), ('Robbery', 0.18494734), ('Explosion', 0.16747299), ('Stealing', 0.16683856), ('Shoplifting', 0.12159838), ('Shooting', 0.120214865), ('RoadAccidents', 0.11820783), ('Arson', 0.10487893), ('Normal_Videos_', 0.088392735)]
Abuse034_x264: [('RoadAccidents', 0.42835683), ('Explosion', 0.17658547), ('Normal_Videos_', 0.16872978), ('Robbery', 0.16623978), ('Arrest', 0.16571078), ('Assault', 0.16387103), ('Abuse', 0.16228658), ('Vandalism', 0.1350945), ('Burglary', 0.13413092), ('Shoplifting', 0.13264006), ('Shooting', 0.13221274), ('Stealing', 0.1119651), ('Fighting', 0.107554026), ('Arson', 0.10669996)]
Abuse035_x264: [('Abuse', 0.28705183), ('Assault', 0.2595928), ('Arrest', 0.25062487), ('Vandalism', 0.22077756), ('Burglary', 0.20590219), ('Robbery', 0.19302489), ('Fighting', 0.19175334), ('Explosion', 0.18797874), ('Stealing', 0.18457894), ('Shoplifting', 0.18046448), ('RoadAccidents', 0.17657192), ('Arson', 0.16392654), ('Normal_Videos_', 0.14975011), ('Shooting', 0.12192216)]
Abuse036_x264: [('Normal_Videos_', 0.2795071), ('Abuse', 0.21120891), ('Arrest', 0.18305644), ('Explosion', 0.15839435), ('Burglary', 0.15194148), ('Assault', 0.14638501), ('Shooting', 0.14278962), ('Vandalism', 0.13906768), ('Robbery', 0.13080719), ('Fighting', 0.13025811), ('RoadAccidents', 0.12058214), ('Arson', 0.11179051), ('Stealing', 0.09610338), ('Shoplifting', 0.07433172)]
Arrest001_x264: [('Burglary', 0.2697574), ('Fighting', 0.25864393), ('Arrest', 0.2544394), ('Explosion', 0.2358486), ('Abuse', 0.23506278), ('Assault', 0.23325735), ('Normal_Videos_', 0.23300809), ('Vandalism', 0.22297701), ('Robbery', 0.22091457), ('Stealing', 0.19302909), ('Arson', 0.17247824), ('RoadAccidents', 0.15327594), ('Shoplifting', 0.14725477), ('Shooting', 0.13891435)]
Arrest002_x264: [('Arrest', 0.37444875), ('Assault', 0.36837944), ('Normal_Videos_', 0.33769044), ('Burglary', 0.31658012), ('Abuse', 0.29392067), ('Fighting', 0.28984532), ('Robbery', 0.28286815), ('Vandalism', 0.2818785), ('Explosion', 0.24997509), ('Arson', 0.23746406), ('Shoplifting', 0.23130144), ('Shooting', 0.21831883), ('RoadAccidents', 0.21250488), ('Stealing', 0.20886816)]
Arrest003_x264: [('Arrest', 0.4466719), ('Assault', 0.3755576), ('Burglary', 0.35253412), ('RoadAccidents', 0.34511912), ('Robbery', 0.3159235), ('Shoplifting', 0.28096518), ('Vandalism', 0.2797829), ('Abuse', 0.27504417), ('Fighting', 0.2508604), ('Stealing', 0.2382021), ('Arson', 0.22788922), ('Explosion', 0.22363397), ('Shooting', 0.20546915), ('Normal_Videos_', 0.1801684)]
Arrest004_x264: [('RoadAccidents', 0.45417768), ('Arrest', 0.3909375), ('Burglary', 0.31058198), ('Explosion', 0.30359915), ('Robbery', 0.30061787), ('Assault', 0.29992998), ('Vandalism', 0.28133774), ('Arson', 0.27526543), ('Abuse', 0.24535516), ('Shooting', 0.23935169), ('Shoplifting', 0.22512126), ('Stealing', 0.2115399), ('Fighting', 0.19347385), ('Normal_Videos_', 0.14662305)]
Arrest005_x264: [('Arrest', 0.41954666), ('Assault', 0.3681988), ('Robbery', 0.35531172), ('Burglary', 0.32852802), ('Shoplifting', 0.32623443), ('Fighting', 0.32134646), ('RoadAccidents', 0.27906716), ('Abuse', 0.2571152), ('Vandalism', 0.256922), ('Stealing', 0.23597586), ('Shooting', 0.2264035), ('Explosion', 0.21802124), ('Arson', 0.18622439), ('Normal_Videos_', 0.16295148)]
Arrest006_x264: [('RoadAccidents', 0.43164974), ('Burglary', 0.41328728), ('Arrest', 0.3993641), ('Robbery', 0.33853036), ('Vandalism', 0.31054446), ('Assault', 0.2975173), ('Shoplifting', 0.27651125), ('Stealing', 0.2667807), ('Shooting', 0.24320708), ('Arson', 0.24042986), ('Explosion', 0.23696913), ('Abuse', 0.22856571), ('Fighting', 0.18767436), ('Normal_Videos_', 0.18702258)]
Arrest007_x264: [('Arrest', 0.35718924), ('Burglary', 0.335948), ('Robbery', 0.30275285), ('Shoplifting', 0.28948945), ('RoadAccidents', 0.2773806), ('Explosion', 0.24356), ('Assault', 0.23110038), ('Vandalism', 0.22597899), ('Stealing', 0.21821088), ('Arson', 0.21119046), ('Abuse', 0.2037582), ('Normal_Videos_', 0.18414304), ('Shooting', 0.16534677), ('Fighting', 0.15453713)]
Arrest008_x264: [('Arrest', 0.4261762), ('Burglary', 0.41236538), ('RoadAccidents', 0.39471924), ('Assault', 0.38619936), ('Robbery', 0.3787353), ('Vandalism', 0.3405127), ('Abuse', 0.3227108), ('Arson', 0.27700627), ('Stealing', 0.26935923), ('Shoplifting', 0.259252), ('Shooting', 0.25050873), ('Explosion', 0.24180627), ('Fighting', 0.23348497), ('Normal_Videos_', 0.1836833)]
Arrest009_x264: [('Arrest', 0.40620834), ('RoadAccidents', 0.38125128), ('Assault', 0.36518985), ('Burglary', 0.3047741), ('Robbery', 0.27784744), ('Vandalism', 0.27284402), ('Abuse', 0.26936692), ('Shooting', 0.25730485), ('Fighting', 0.2470892), ('Normal_Videos_', 0.20802268), ('Explosion', 0.2078413), ('Arson', 0.20627269), ('Shoplifting', 0.20615818), ('Stealing', 0.17753386)]
Arrest010_x264: [('Arrest', 0.4157323), ('Burglary', 0.3958905), ('Robbery', 0.36753595), ('RoadAccidents', 0.35576618), ('Assault', 0.32780525), ('Vandalism', 0.31003857), ('Abuse', 0.30113468), ('Shoplifting', 0.2955796), ('Stealing', 0.25587514), ('Arson', 0.25370985), ('Explosion', 0.2314257), ('Normal_Videos_', 0.22600216), ('Shooting', 0.19719839), ('Fighting', 0.16899197)]
Arrest011_x264: [('RoadAccidents', 0.37208122), ('Arson', 0.3575676), ('Arrest', 0.35205692), ('Explosion', 0.34833494), ('Burglary', 0.3465693), ('Assault', 0.31846178), ('Fighting', 0.3021343), ('Vandalism', 0.28650153), ('Abuse', 0.2587418), ('Shooting', 0.24448232), ('Robbery', 0.24120915), ('Shoplifting', 0.24012277), ('Stealing', 0.19004022), ('Normal_Videos_', 0.15192983)]
Arrest012_x264: [('Arrest', 0.4133427), ('RoadAccidents', 0.38427478), ('Fighting', 0.30213133), ('Assault', 0.30190146), ('Explosion', 0.2913257), ('Burglary', 0.2825942), ('Vandalism', 0.28059757), ('Shoplifting', 0.2540347), ('Robbery', 0.2441078), ('Abuse', 0.24021667), ('Normal_Videos_', 0.22558227), ('Arson', 0.21914756), ('Shooting', 0.21811654), ('Stealing', 0.20161165)]
Arrest013_x264: [('RoadAccidents', 0.48038924), ('Arrest', 0.31987107), ('Burglary', 0.26765817), ('Robbery', 0.25542784), ('Explosion', 0.2532048), ('Assault', 0.24752215), ('Normal_Videos_', 0.23659758), ('Arson', 0.22369802), ('Stealing', 0.22333932), ('Shoplifting', 0.22073932), ('Shooting', 0.21728659), ('Vandalism', 0.20880581), ('Fighting', 0.15250093), ('Abuse', 0.1477809)]
Arrest014_x264: [('RoadAccidents', 0.36234307), ('Arrest', 0.35730687), ('Burglary', 0.33025444), ('Vandalism', 0.28969127), ('Assault', 0.2843516), ('Shoplifting', 0.26677188), ('Explosion', 0.24711931), ('Normal_Videos_', 0.24559271), ('Robbery', 0.24444197), ('Arson', 0.22890222), ('Abuse', 0.22034866), ('Shooting', 0.20989947), ('Stealing', 0.19504145), ('Fighting', 0.18894117)]
Arrest015_x264: [('RoadAccidents', 0.48833883), ('Arrest', 0.35008436), ('Burglary', 0.30499944), ('Robbery', 0.28892174), ('Assault', 0.2879009), ('Vandalism', 0.26914364), ('Shooting', 0.26827872), ('Stealing', 0.25543988), ('Shoplifting', 0.2551958), ('Explosion', 0.2543358), ('Abuse', 0.24668565), ('Fighting', 0.23222074), ('Normal_Videos_', 0.23178577), ('Arson', 0.20278467)]
Arrest016_x264: [('Arrest', 0.43897128), ('RoadAccidents', 0.4061746), ('Burglary', 0.31200576), ('Robbery', 0.2947691), ('Assault', 0.2943429), ('Shoplifting', 0.27320695), ('Vandalism', 0.2698348), ('Abuse', 0.26749808), ('Normal_Videos_', 0.25359708), ('Explosion', 0.23934314), ('Shooting', 0.23562674), ('Stealing', 0.23441023), ('Fighting', 0.2081737), ('Arson', 0.19655704)]
Arrest017_x264: [('RoadAccidents', 0.4801404), ('Arrest', 0.3113823), ('Normal_Videos_', 0.25445876), ('Burglary', 0.24213527), ('Explosion', 0.2389138), ('Assault', 0.21539465), ('Vandalism', 0.21062389), ('Robbery', 0.20629741), ('Shooting', 0.19650698), ('Shoplifting', 0.18623531), ('Arson', 0.1757878), ('Stealing', 0.17426553), ('Abuse', 0.17350984), ('Fighting', 0.16129509)]
Arrest018_x264: [('RoadAccidents', 0.52031255), ('Arrest', 0.3637607), ('Robbery', 0.3341636), ('Burglary', 0.3184119), ('Shoplifting', 0.29918218), ('Stealing', 0.28597695), ('Vandalism', 0.26209098), ('Arson', 0.24647254), ('Normal_Videos_', 0.23466468), ('Assault', 0.22783959), ('Explosion', 0.2252233), ('Shooting', 0.22412351), ('Abuse', 0.2149959), ('Fighting', 0.15528166)]
Arrest019_x264: [('RoadAccidents', 0.48674273), ('Arrest', 0.3803739), ('Assault', 0.34072164), ('Robbery', 0.30475768), ('Burglary', 0.29181862), ('Vandalism', 0.28069577), ('Stealing', 0.26359588), ('Shoplifting', 0.25877425), ('Abuse', 0.25701398), ('Shooting', 0.2547343), ('Fighting', 0.22185639), ('Explosion', 0.21688297), ('Arson', 0.20061556), ('Normal_Videos_', 0.18431693)]
Arrest020_x264: [('Arrest', 0.38031036), ('RoadAccidents', 0.35353345), ('Robbery', 0.2679432), ('Burglary', 0.24533382), ('Assault', 0.23173216), ('Shoplifting', 0.20060419), ('Stealing', 0.1993715), ('Abuse', 0.19581495), ('Explosion', 0.19286282), ('Fighting', 0.17214936), ('Vandalism', 0.17135535), ('Shooting', 0.16572116), ('Normal_Videos_', 0.16428262), ('Arson', 0.14613038)]
Arrest021_x264: [('Arrest', 0.4324944), ('Assault', 0.32410574), ('Burglary', 0.32212836), ('Robbery', 0.2866795), ('RoadAccidents', 0.27294666), ('Abuse', 0.26891106), ('Vandalism', 0.2354219), ('Stealing', 0.22171035), ('Shoplifting', 0.21511112), ('Fighting', 0.20561394), ('Explosion', 0.19993575), ('Normal_Videos_', 0.18316169), ('Arson', 0.18115962), ('Shooting', 0.16158909)]
Arrest022_x264: [('Arrest', 0.3970812), ('RoadAccidents', 0.37559333), ('Shooting', 0.30517027), ('Assault', 0.2940954), ('Burglary', 0.27743292), ('Robbery', 0.2582165), ('Explosion', 0.25379747), ('Vandalism', 0.23388699), ('Fighting', 0.22042254), ('Abuse', 0.22009432), ('Shoplifting', 0.21852286), ('Normal_Videos_', 0.21044703), ('Arson', 0.18128553), ('Stealing', 0.16318747)]
Arrest023_x264: [('Arrest', 0.3290242), ('Burglary', 0.29115182), ('Fighting', 0.28852826), ('Robbery', 0.27992493), ('Assault', 0.27790117), ('Abuse', 0.22563496), ('Stealing', 0.220605), ('RoadAccidents', 0.20142797), ('Explosion', 0.19421738), ('Vandalism', 0.18459475), ('Normal_Videos_', 0.17735046), ('Shooting', 0.17544974), ('Shoplifting', 0.16488028), ('Arson', 0.1637984)]
Arrest024_x264: [('RoadAccidents', 0.4183582), ('Arrest', 0.350022), ('Shooting', 0.28409454), ('Burglary', 0.28192854), ('Robbery', 0.2698648), ('Shoplifting', 0.24887824), ('Explosion', 0.2471146), ('Assault', 0.23612165), ('Stealing', 0.23156337), ('Vandalism', 0.21750355), ('Abuse', 0.20196298), ('Arson', 0.20134494), ('Normal_Videos_', 0.17699361), ('Fighting', 0.17559084)]
Arrest025_x264: [('Arrest', 0.42099065), ('RoadAccidents', 0.40568554), ('Assault', 0.28737158), ('Burglary', 0.21676102), ('Vandalism', 0.20891172), ('Robbery', 0.18799523), ('Abuse', 0.18359195), ('Fighting', 0.17731479), ('Normal_Videos_', 0.17306712), ('Explosion', 0.17134136), ('Arson', 0.15356255), ('Shoplifting', 0.14900027), ('Shooting', 0.14437236), ('Stealing', 0.104037195)]
Arrest026_x264: [('Arrest', 0.4813276), ('Assault', 0.34036154), ('Burglary', 0.33084413), ('Abuse', 0.2894705), ('RoadAccidents', 0.26343215), ('Robbery', 0.2495988), ('Vandalism', 0.24325284), ('Fighting', 0.2322009), ('Shoplifting', 0.21647348), ('Explosion', 0.20128985), ('Stealing', 0.18035667), ('Arson', 0.1770026), ('Normal_Videos_', 0.14575501), ('Shooting', 0.13688162)]
Arrest027_x264: [('RoadAccidents', 0.58058053), ('Arrest', 0.32969987), ('Explosion', 0.27824122), ('Burglary', 0.2731127), ('Shooting', 0.26858205), ('Robbery', 0.25667444), ('Assault', 0.24108426), ('Stealing', 0.22663735), ('Vandalism', 0.22559875), ('Arson', 0.2151777), ('Normal_Videos_', 0.21470033), ('Abuse', 0.20452085), ('Shoplifting', 0.20198688), ('Fighting', 0.19680846)]
Arrest028_x264: [('Arrest', 0.40608796), ('Burglary', 0.2961368), ('Robbery', 0.24953842), ('RoadAccidents', 0.24544215), ('Assault', 0.23630518), ('Normal_Videos_', 0.2097188), ('Shoplifting', 0.20321727), ('Explosion', 0.1878672), ('Abuse', 0.1805908), ('Fighting', 0.17470534), ('Stealing', 0.1719537), ('Vandalism', 0.1678473), ('Arson', 0.1503778), ('Shooting', 0.14228639)]
