RoadAccidents055: [('Road Accidents', 0.9256828), ('Burglary', 0.9053169), ('Explosion', 0.901189), ('Assault', 0.873768), ('Abuse', 0.8696256), ('Normal Videos', 0.866782), ('Arson', 0.8640655), ('Shooting', 0.8599095), ('Fighting', 0.85452497), ('Arrest', 0.85448164), ('Vandalism', 0.8492813), ('Robbery', 0.842636), ('Stealing', 0.83714885), ('Shoplifting', 0.73998857)]
RoadAccidents103: [('Explosion', 0.9264153), ('Assault', 0.91378057), ('Fighting', 0.91115355), ('Shooting', 0.91075635), ('Arrest', 0.90556675), ('Abuse', 0.9028614), ('Stealing', 0.90044224), ('Normal Videos', 0.8978596), ('Burglary', 0.8644093), ('Road Accidents', 0.86214745), ('Robbery', 0.8402111), ('Vandalism', 0.83379954), ('Arson', 0.8299272), ('Shoplifting', 0.7951292)]
RoadAccidents074: [('Normal Videos', 0.87717617), ('Road Accidents', 0.86354315), ('Shooting', 0.85476196), ('Explosion', 0.8529581), ('Fighting', 0.8520056), ('Burglary', 0.8519073), ('Abuse', 0.8456604), ('Stealing', 0.8416755), ('Robbery', 0.8394543), ('Assault', 0.837339), ('Vandalism', 0.8361236), ('Arrest', 0.8305039), ('Arson', 0.8232561), ('Shoplifting', 0.81087655)]
RoadAccidents012: [('Explosion', 0.94865173), ('Assault', 0.9348669), ('Fighting', 0.92531615), ('Abuse', 0.9232676), ('Arrest', 0.922516), ('Shooting', 0.92129046), ('Stealing', 0.9017926), ('Normal Videos', 0.895516), ('Road Accidents', 0.8915862), ('Burglary', 0.858421), ('Arson', 0.83865285), ('Robbery', 0.8256198), ('Vandalism', 0.8239348), ('Shoplifting', 0.726575)]
RoadAccidents006: [('Explosion', 0.89408004), ('Burglary', 0.87852585), ('Road Accidents', 0.8668815), ('Assault', 0.8571821), ('Fighting', 0.8550192), ('Shooting', 0.8514104), ('Normal Videos', 0.84978914), ('Arrest', 0.8476139), ('Abuse', 0.84563696), ('Arson', 0.82754683), ('Stealing', 0.8260609), ('Vandalism', 0.82258457), ('Robbery', 0.8007626), ('Shoplifting', 0.75298285)]
RoadAccidents102: [('Burglary', 0.85495293), ('Explosion', 0.85468453), ('Road Accidents', 0.84814215), ('Normal Videos', 0.8276635), ('Vandalism', 0.8194171), ('Abuse', 0.8190253), ('Assault', 0.8153241), ('Fighting', 0.815142), ('Shooting', 0.8093244), ('Arrest', 0.80522907), ('Arson', 0.80409694), ('Stealing', 0.8026072), ('Robbery', 0.78454566), ('Shoplifting', 0.68625176)]
RoadAccidents068: [('Explosion', 0.9198836), ('Assault', 0.9141307), ('Fighting', 0.91164064), ('Abuse', 0.91136837), ('Shooting', 0.91116375), ('Normal Videos', 0.9058877), ('Arrest', 0.90112203), ('Stealing', 0.895772), ('Road Accidents', 0.8774046), ('Burglary', 0.86549413), ('Arson', 0.8397776), ('Vandalism', 0.8304617), ('Robbery', 0.83041173), ('Shoplifting', 0.7909515)]
RoadAccidents077: [('Explosion', 0.9230417), ('Assault', 0.90167546), ('Fighting', 0.90065175), ('Shooting', 0.8982115), ('Abuse', 0.89452076), ('Arrest', 0.8912217), ('Stealing', 0.8903495), ('Normal Videos', 0.8883774), ('Burglary', 0.8734159), ('Road Accidents', 0.8677339), ('Vandalism', 0.83642894), ('Arson', 0.83255184), ('Robbery', 0.83039415), ('Shoplifting', 0.7617449)]
RoadAccidents021: [('Explosion', 0.8747676), ('Burglary', 0.8699995), ('Road Accidents', 0.84854674), ('Fighting', 0.84216803), ('Assault', 0.8389672), ('Normal Videos', 0.8379224), ('Shooting', 0.8367887), ('Abuse', 0.8347858), ('Vandalism', 0.83353585), ('Arrest', 0.8288788), ('Arson', 0.82332325), ('Stealing', 0.8225227), ('Robbery', 0.81059694), ('Shoplifting', 0.7503555)]
RoadAccidents110: [('Explosion', 0.85882854), ('Normal Videos', 0.85459244), ('Road Accidents', 0.84436643), ('Fighting', 0.8422168), ('Burglary', 0.84100956), ('Stealing', 0.8381244), ('Abuse', 0.8354276), ('Shooting', 0.83106846), ('Vandalism', 0.82698315), ('Assault', 0.82500386), ('Arrest', 0.82089746), ('Robbery', 0.8184128), ('Arson', 0.8162005), ('Shoplifting', 0.77066284)]
RoadAccidents058: [('Explosion', 0.9172058), ('Assault', 0.90898645), ('Fighting', 0.90370095), ('Abuse', 0.9035772), ('Shooting', 0.90251046), ('Arrest', 0.89335173), ('Stealing', 0.88431823), ('Normal Videos', 0.8814043), ('Road Accidents', 0.8732754), ('Burglary', 0.84245616), ('Arson', 0.83211195), ('Robbery', 0.8191463), ('Vandalism', 0.8093431), ('Shoplifting', 0.7604512)]
RoadAccidents091: [('Explosion', 0.88121116), ('Burglary', 0.86549413), ('Fighting', 0.864736), ('Road Accidents', 0.8636492), ('Normal Videos', 0.8631203), ('Shooting', 0.8602394), ('Abuse', 0.8571694), ('Assault', 0.85374784), ('Arrest', 0.8464551), ('Stealing', 0.845195), ('Arson', 0.82775635), ('Vandalism', 0.8229402), ('Robbery', 0.81835455), ('Shoplifting', 0.7315106)]
RoadAccidents008: [('Explosion', 0.9413464), ('Assault', 0.9364947), ('Fighting', 0.9257556), ('Abuse', 0.9241687), ('Shooting', 0.92405427), ('Arrest', 0.9226272), ('Stealing', 0.90728724), ('Normal Videos', 0.9034059), ('Road Accidents', 0.8770479), ('Burglary', 0.87572175), ('Arson', 0.84713835), ('Robbery', 0.84249943), ('Vandalism', 0.8255011), ('Shoplifting', 0.75198466)]
RoadAccidents031: [('Explosion', 0.934158), ('Road Accidents', 0.9214324), ('Fighting', 0.9181294), ('Assault', 0.9181216), ('Abuse', 0.9178858), ('Shooting', 0.9163587), ('Normal Videos', 0.91436213), ('Burglary', 0.90852106), ('Stealing', 0.9063179), ('Arrest', 0.90609777), ('Vandalism', 0.862358), ('Robbery', 0.84373033), ('Arson', 0.8427459), ('Shoplifting', 0.76704246)]
RoadAccidents086: [('Explosion', 0.92874664), ('Assault', 0.91847426), ('Shooting', 0.9131449), ('Fighting', 0.9026129), ('Arrest', 0.90214145), ('Abuse', 0.8956121), ('Road Accidents', 0.8843465), ('Normal Videos', 0.87865305), ('Stealing', 0.8702516), ('Burglary', 0.860785), ('Arson', 0.83115774), ('Vandalism', 0.81417984), ('Robbery', 0.7942877), ('Shoplifting', 0.69065976)]
RoadAccidents029: [('Explosion', 0.8847187), ('Road Accidents', 0.87964827), ('Burglary', 0.8679383), ('Normal Videos', 0.85483515), ('Assault', 0.85219884), ('Shooting', 0.8519864), ('Fighting', 0.84807897), ('Abuse', 0.8475596), ('Arrest', 0.84268236), ('Stealing', 0.8307397), ('Arson', 0.82577205), ('Vandalism', 0.82428), ('Robbery', 0.81007487), ('Shoplifting', 0.7243478)]
RoadAccidents032: [('Explosion', 0.9434868), ('Assault', 0.92336816), ('Fighting', 0.92297584), ('Road Accidents', 0.9214324), ('Abuse', 0.91922104), ('Shooting', 0.9172449), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Burglary', 0.90852106), ('Normal Videos', 0.9021815), ('Vandalism', 0.862358), ('Robbery', 0.8455137), ('Arson', 0.84306216), ('Shoplifting', 0.80314845)]
RoadAccidents025: [('Burglary', 0.8827268), ('Explosion', 0.87675256), ('Normal Videos', 0.86618197), ('Road Accidents', 0.86489284), ('Shooting', 0.85968614), ('Fighting', 0.84852695), ('Abuse', 0.84523064), ('Assault', 0.8417661), ('Arson', 0.83859307), ('Arrest', 0.8356399), ('Stealing', 0.8334612), ('Vandalism', 0.8282564), ('Robbery', 0.82081115), ('Shoplifting', 0.73007566)]
RoadAccidents043: [('Explosion', 0.86940134), ('Normal Videos', 0.8680956), ('Fighting', 0.8548153), ('Shooting', 0.8538178), ('Road Accidents', 0.84924483), ('Abuse', 0.8466754), ('Assault', 0.8399737), ('Stealing', 0.8390131), ('Arrest', 0.8350483), ('Burglary', 0.8329742), ('Vandalism', 0.8193978), ('Robbery', 0.80782574), ('Arson', 0.80398214), ('Shoplifting', 0.73922753)]
RoadAccidents113: [('Shooting', 0.9340236), ('Assault', 0.93313307), ('Fighting', 0.93303347), ('Explosion', 0.9314117), ('Abuse', 0.93030757), ('Arrest', 0.9236223), ('Stealing', 0.9168582), ('Normal Videos', 0.90387934), ('Road Accidents', 0.89658254), ('Burglary', 0.8826734), ('Robbery', 0.86782235), ('Arson', 0.8673892), ('Vandalism', 0.84369427), ('Shoplifting', 0.77781147)]
RoadAccidents053: [('Explosion', 0.914607), ('Assault', 0.8944321), ('Fighting', 0.8928261), ('Abuse', 0.8922689), ('Shooting', 0.89136803), ('Stealing', 0.88914734), ('Normal Videos', 0.8876459), ('Arrest', 0.88634515), ('Road Accidents', 0.85952616), ('Burglary', 0.84611756), ('Robbery', 0.8304346), ('Vandalism', 0.8115199), ('Arson', 0.81118727), ('Shoplifting', 0.733562)]
RoadAccidents017: [('Road Accidents', 0.86345834), ('Explosion', 0.8569793), ('Normal Videos', 0.85294604), ('Shooting', 0.8421823), ('Burglary', 0.8361809), ('Fighting', 0.83536386), ('Abuse', 0.82971114), ('Arrest', 0.8293023), ('Assault', 0.82799536), ('Stealing', 0.8224095), ('Vandalism', 0.8139347), ('Robbery', 0.80639374), ('Arson', 0.79663754), ('Shoplifting', 0.709514)]
RoadAccidents065: [('Road Accidents', 0.83811945), ('Burglary', 0.83329886), ('Vandalism', 0.83003825), ('Explosion', 0.80203694), ('Normal Videos', 0.7999475), ('Shooting', 0.7887784), ('Robbery', 0.7846972), ('Fighting', 0.78465027), ('Arson', 0.7838193), ('Abuse', 0.7820051), ('Assault', 0.7739961), ('Stealing', 0.76934636), ('Arrest', 0.76805234), ('Shoplifting', 0.7408319)]
RoadAccidents033: [('Robbery', 0.8394543), ('Vandalism', 0.83379024), ('Burglary', 0.83194506), ('Road Accidents', 0.8315162), ('Normal Videos', 0.8258854), ('Fighting', 0.8185736), ('Stealing', 0.8158269), ('Explosion', 0.8130707), ('Shooting', 0.8113334), ('Abuse', 0.80741537), ('Arson', 0.80571985), ('Shoplifting', 0.7951292), ('Assault', 0.7861848), ('Arrest', 0.7861726)]
RoadAccidents143: [('Explosion', 0.8977145), ('Fighting', 0.89502597), ('Assault', 0.88913524), ('Abuse', 0.88748264), ('Shooting', 0.8867941), ('Normal Videos', 0.8826452), ('Stealing', 0.87998545), ('Arrest', 0.87865484), ('Road Accidents', 0.847108), ('Burglary', 0.8389922), ('Vandalism', 0.8188314), ('Robbery', 0.8167388), ('Arson', 0.8158129), ('Shoplifting', 0.733562)]
RoadAccidents114: [('Explosion', 0.914607), ('Assault', 0.8944321), ('Fighting', 0.8928261), ('Abuse', 0.8922689), ('Shooting', 0.89136803), ('Stealing', 0.88914734), ('Normal Videos', 0.8876459), ('Arrest', 0.88634515), ('Burglary', 0.8734159), ('Road Accidents', 0.85952616), ('Robbery', 0.8304346), ('Vandalism', 0.81958145), ('Arson', 0.8170308), ('Shoplifting', 0.72924674)]
RoadAccidents027: [('Normal Videos', 0.86488134), ('Fighting', 0.85729396), ('Explosion', 0.8521379), ('Shooting', 0.8517529), ('Road Accidents', 0.8507206), ('Stealing', 0.845868), ('Abuse', 0.8427936), ('Arrest', 0.8363669), ('Assault', 0.83215165), ('Robbery', 0.8313009), ('Burglary', 0.8136573), ('Vandalism', 0.80356824), ('Arson', 0.8024099), ('Shoplifting', 0.7565798)]
RoadAccidents149: [('Road Accidents', 0.8662543), ('Explosion', 0.8403306), ('Normal Videos', 0.83377963), ('Vandalism', 0.8321324), ('Burglary', 0.8318256), ('Fighting', 0.8217217), ('Shooting', 0.81610274), ('Abuse', 0.81111383), ('Arson', 0.80944455), ('Assault', 0.80724597), ('Arrest', 0.7986094), ('Stealing', 0.79654115), ('Robbery', 0.7758671), ('Shoplifting', 0.72071725)]
RoadAccidents131: [('Explosion', 0.9055777), ('Shooting', 0.890808), ('Road Accidents', 0.8868705), ('Fighting', 0.88656104), ('Assault', 0.88588667), ('Normal Videos', 0.8785856), ('Abuse', 0.8754715), ('Arrest', 0.8732924), ('Burglary', 0.86336285), ('Stealing', 0.8548344), ('Robbery', 0.8394543), ('Arson', 0.8374721), ('Vandalism', 0.83379024), ('Shoplifting', 0.7951292)]
RoadAccidents096: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Abuse', 0.9179088), ('Shooting', 0.9172449), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.894909), ('Road Accidents', 0.8730265), ('Burglary', 0.84016985), ('Robbery', 0.8392079), ('Arson', 0.8300917), ('Vandalism', 0.8155861), ('Shoplifting', 0.71363056)]
RoadAccidents119: [('Shooting', 0.9357934), ('Assault', 0.93124354), ('Fighting', 0.9308868), ('Abuse', 0.92818207), ('Explosion', 0.92697185), ('Arrest', 0.9169915), ('Stealing', 0.9142354), ('Normal Videos', 0.90901387), ('Road Accidents', 0.89369017), ('Burglary', 0.8726195), ('Robbery', 0.86229116), ('Arson', 0.8492505), ('Vandalism', 0.83395755), ('Shoplifting', 0.7951292)]
RoadAccidents135: [('Explosion', 0.91948766), ('Assault', 0.91860175), ('Fighting', 0.9166777), ('Abuse', 0.91552055), ('Shooting', 0.91213447), ('Arrest', 0.9071528), ('Stealing', 0.8998654), ('Normal Videos', 0.8992834), ('Road Accidents', 0.8772973), ('Burglary', 0.86716807), ('Arson', 0.8396545), ('Vandalism', 0.8364426), ('Robbery', 0.8343319), ('Shoplifting', 0.7715143)]
RoadAccidents075: [('Robbery', 0.87806255), ('Road Accidents', 0.85817146), ('Fighting', 0.8563217), ('Stealing', 0.85448354), ('Normal Videos', 0.8531383), ('Shooting', 0.8529845), ('Abuse', 0.8489582), ('Burglary', 0.8465461), ('Explosion', 0.84417284), ('Arson', 0.8359374), ('Assault', 0.8353994), ('Vandalism', 0.8326762), ('Arrest', 0.82899535), ('Shoplifting', 0.8074142)]
RoadAccidents042: [('Assault', 0.92784894), ('Shooting', 0.92528594), ('Abuse', 0.9252712), ('Explosion', 0.92435384), ('Fighting', 0.9224604), ('Arrest', 0.91751695), ('Stealing', 0.91186404), ('Normal Videos', 0.9052353), ('Road Accidents', 0.887184), ('Burglary', 0.85887635), ('Arson', 0.83602107), ('Robbery', 0.83505124), ('Vandalism', 0.8248266), ('Shoplifting', 0.75443125)]
RoadAccidents094: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Abuse', 0.9179088), ('Shooting', 0.9172449), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.894909), ('Road Accidents', 0.88068557), ('Burglary', 0.85934675), ('Robbery', 0.8392079), ('Arson', 0.8300917), ('Vandalism', 0.82464564), ('Shoplifting', 0.71363056)]
RoadAccidents048: [('Explosion', 0.9352634), ('Assault', 0.9108198), ('Abuse', 0.90827733), ('Shooting', 0.90495557), ('Fighting', 0.90077), ('Arrest', 0.9006002), ('Stealing', 0.8960533), ('Normal Videos', 0.8932576), ('Road Accidents', 0.8847069), ('Burglary', 0.85168505), ('Robbery', 0.8361635), ('Vandalism', 0.8302987), ('Arson', 0.8286548), ('Shoplifting', 0.7542916)]
RoadAccidents007: [('Explosion', 0.8608372), ('Fighting', 0.8500012), ('Normal Videos', 0.84855247), ('Shooting', 0.84459853), ('Stealing', 0.83643043), ('Abuse', 0.8353723), ('Burglary', 0.83508027), ('Arrest', 0.8337542), ('Road Accidents', 0.8323695), ('Assault', 0.8301743), ('Vandalism', 0.8204919), ('Robbery', 0.8125218), ('Arson', 0.8051081), ('Shoplifting', 0.7399226)]
RoadAccidents071: [('Burglary', 0.8521252), ('Road Accidents', 0.83453196), ('Explosion', 0.8331192), ('Normal Videos', 0.808445), ('Shooting', 0.801453), ('Vandalism', 0.8005847), ('Fighting', 0.800067), ('Assault', 0.7980597), ('Abuse', 0.7927052), ('Arson', 0.7912934), ('Arrest', 0.7892811), ('Stealing', 0.78334296), ('Robbery', 0.77099454), ('Shoplifting', 0.66883314)]
RoadAccidents144: [('Explosion', 0.9017682), ('Road Accidents', 0.8805847), ('Shooting', 0.8771883), ('Assault', 0.8755644), ('Fighting', 0.87378883), ('Normal Videos', 0.86870027), ('Arrest', 0.86352926), ('Abuse', 0.8629066), ('Burglary', 0.8557), ('Stealing', 0.8441037), ('Arson', 0.8180388), ('Vandalism', 0.8117382), ('Robbery', 0.7928744), ('Shoplifting', 0.6681794)]
RoadAccidents046: [('Explosion', 0.9015288), ('Normal Videos', 0.88470805), ('Fighting', 0.88308537), ('Assault', 0.8801799), ('Abuse', 0.8757273), ('Shooting', 0.8754847), ('Stealing', 0.87238336), ('Arrest', 0.871161), ('Burglary', 0.8689449), ('Road Accidents', 0.85826385), ('Arson', 0.840438), ('Robbery', 0.8281662), ('Vandalism', 0.8276275), ('Shoplifting', 0.7118043)]
RoadAccidents070: [('Road Accidents', 0.8207321), ('Vandalism', 0.80590385), ('Normal Videos', 0.80569845), ('Robbery', 0.79732645), ('Explosion', 0.7966924), ('Fighting', 0.7943023), ('Burglary', 0.78775203), ('Shoplifting', 0.7847968), ('Stealing', 0.78418183), ('Abuse', 0.7819799), ('Shooting', 0.7720763), ('Arson', 0.7648015), ('Arrest', 0.76215655), ('Assault', 0.7582901)]
RoadAccidents087: [('Explosion', 0.9531806), ('Assault', 0.94931066), ('Abuse', 0.94557226), ('Fighting', 0.94052446), ('Shooting', 0.9400122), ('Stealing', 0.9378774), ('Arrest', 0.9344625), ('Normal Videos', 0.9209499), ('Burglary', 0.89984596), ('Road Accidents', 0.8995056), ('Arson', 0.8590971), ('Robbery', 0.85289776), ('Vandalism', 0.8469862), ('Shoplifting', 0.794193)]
RoadAccidents061: [('Explosion', 0.92874664), ('Assault', 0.91847426), ('Shooting', 0.9131449), ('Fighting', 0.9026129), ('Arrest', 0.90214145), ('Abuse', 0.8956121), ('Road Accidents', 0.8843465), ('Normal Videos', 0.87865305), ('Stealing', 0.8702516), ('Burglary', 0.8579483), ('Arson', 0.83115774), ('Vandalism', 0.7975725), ('Robbery', 0.7942877), ('Shoplifting', 0.69573706)]
RoadAccidents005: [('Explosion', 0.8841065), ('Road Accidents', 0.8730625), ('Shooting', 0.8630959), ('Fighting', 0.85960186), ('Normal Videos', 0.8576686), ('Assault', 0.8543457), ('Burglary', 0.8542894), ('Abuse', 0.84546137), ('Arrest', 0.84009093), ('Stealing', 0.82712615), ('Arson', 0.8248466), ('Vandalism', 0.80960804), ('Robbery', 0.7981865), ('Shoplifting', 0.71119773)]
RoadAccidents098: [('Explosion', 0.9393971), ('Fighting', 0.9303508), ('Abuse', 0.92046595), ('Assault', 0.9199754), ('Stealing', 0.9175821), ('Shooting', 0.9163587), ('Normal Videos', 0.91436213), ('Arrest', 0.9097154), ('Road Accidents', 0.8921906), ('Burglary', 0.87376285), ('Robbery', 0.8545781), ('Arson', 0.8510214), ('Vandalism', 0.8474835), ('Shoplifting', 0.7579005)]
RoadAccidents118: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Abuse', 0.9179088), ('Shooting', 0.9172449), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.894909), ('Road Accidents', 0.8730265), ('Burglary', 0.84016985), ('Robbery', 0.8392079), ('Arson', 0.8300917), ('Vandalism', 0.8226658), ('Shoplifting', 0.7651752)]
RoadAccidents002: [('Vandalism', 0.8155553), ('Explosion', 0.80730987), ('Road Accidents', 0.80664355), ('Burglary', 0.80523187), ('Normal Videos', 0.7888204), ('Robbery', 0.78058314), ('Fighting', 0.7738531), ('Shoplifting', 0.76462233), ('Shooting', 0.76242876), ('Abuse', 0.76139086), ('Stealing', 0.7602396), ('Arson', 0.75635576), ('Arrest', 0.74901223), ('Assault', 0.74708945)]
RoadAccidents056: [('Road Accidents', 0.8890517), ('Explosion', 0.88705724), ('Normal Videos', 0.8760428), ('Assault', 0.87576354), ('Shooting', 0.87503505), ('Fighting', 0.8738561), ('Abuse', 0.8716025), ('Arrest', 0.8691679), ('Stealing', 0.8538084), ('Vandalism', 0.84682804), ('Burglary', 0.84659994), ('Robbery', 0.8211176), ('Arson', 0.8210685), ('Shoplifting', 0.77248335)]
RoadAccidents107: [('Explosion', 0.9375418), ('Assault', 0.9250902), ('Shooting', 0.92149913), ('Abuse', 0.9161767), ('Fighting', 0.91394055), ('Road Accidents', 0.9114136), ('Arrest', 0.90877384), ('Burglary', 0.9059688), ('Normal Videos', 0.90227497), ('Stealing', 0.8990363), ('Arson', 0.8809198), ('Vandalism', 0.86323535), ('Robbery', 0.85267603), ('Shoplifting', 0.7951292)]
