RoadAccidents055: [('Road Accidents', 0.07695595175027847), ('Vandalism', 0.07571670413017273), ('Burglary', 0.07565369457006454), ('Explosion', 0.07453817874193192), ('Normal Videos', 0.07420826703310013), ('Shooting', 0.07357527315616608), ('Arson', 0.07259051501750946), ('Assault', 0.07252202928066254), ('Fighting', 0.07233685255050659), ('Arrest', 0.07230823487043381), ('Abuse', 0.07222224771976471), ('Robbery', 0.07170618325471878), ('Stealing', 0.07137943804264069), ('Shoplifting', 0.06861807405948639)]
RoadAccidents068: [('Road Accidents', 0.07523640990257263), ('Vandalism', 0.07511033117771149), ('Explosion', 0.07507601380348206), ('Burglary', 0.07493230700492859), ('Normal Videos', 0.07447462528944016), ('Assault', 0.07440062612295151), ('Fighting', 0.0742155984044075), ('Abuse', 0.07419539988040924), ('Shooting', 0.07418021559715271), ('Arrest', 0.07343904674053192), ('Stealing', 0.07304719090461731), ('Robbery', 0.07222859561443329), ('Arson', 0.07089076191186905), ('Shoplifting', 0.07074475288391113)]
RoadAccidents077: [('Burglary', 0.07633577287197113), ('Explosion', 0.07571140676736832), ('Road Accidents', 0.07501819729804993), ('Vandalism', 0.07455340027809143), ('Fighting', 0.07436934858560562), ('Assault', 0.07411089539527893), ('Stealing', 0.0738825723528862), ('Shooting', 0.07385462522506714), ('Normal Videos', 0.07361257076263428), ('Abuse', 0.07359064370393753), ('Arrest', 0.07334019243717194), ('Robbery', 0.07175513356924057), ('Arson', 0.07095915079116821), ('Shoplifting', 0.06851839274168015)]
RoadAccidents021: [('Explosion', 0.07470402866601944), ('Burglary', 0.07434868067502975), ('Road Accidents', 0.07277067750692368), ('Vandalism', 0.07269763201475143), ('Fighting', 0.07230798155069351), ('Normal Videos', 0.07213382422924042), ('Assault', 0.07207690179347992), ('Shooting', 0.07192005217075348), ('Abuse', 0.07177615165710449), ('Stealing', 0.0714438185095787), ('Arrest', 0.07135341316461563), ('Robbery', 0.07102955132722855), ('Arson', 0.07095810770988464), ('Shoplifting', 0.06689528375864029)]
RoadAccidents110: [('Road Accidents', 0.07496079057455063), ('Explosion', 0.07451056689023972), ('Burglary', 0.07444098591804504), ('Vandalism', 0.07430016249418259), ('Normal Videos', 0.07336600869894028), ('Shooting', 0.07316891849040985), ('Fighting', 0.07271212339401245), ('Assault', 0.07217370718717575), ('Stealing', 0.07216770946979523), ('Abuse', 0.07197798043489456), ('Arrest', 0.0716402530670166), ('Robbery', 0.07144470512866974), ('Arson', 0.07091181725263596), ('Shoplifting', 0.06901397556066513)]
RoadAccidents058: [('Explosion', 0.07535748928785324), ('Assault', 0.07474063336849213), ('Road Accidents', 0.07446186244487762), ('Fighting', 0.0743466392159462), ('Abuse', 0.074337437748909), ('Shooting', 0.07425818592309952), ('Burglary', 0.07398434728384018), ('Vandalism', 0.07382572442293167), ('Normal Videos', 0.07368792593479156), ('Arrest', 0.07358118146657944), ('Stealing', 0.07291947305202484), ('Robbery', 0.07259860634803772), ('Shoplifting', 0.07088778167963028), ('Arson', 0.07081819325685501)]
RoadAccidents091: [('Burglary', 0.07517396658658981), ('Explosion', 0.07507601380348206), ('Normal Videos', 0.07413220405578613), ('Vandalism', 0.07407684624195099), ('Road Accidents', 0.07352244853973389), ('Fighting', 0.07327776402235031), ('Stealing', 0.07326023280620575), ('Shooting', 0.0730615183711052), ('Abuse', 0.07253521680831909), ('Assault', 0.07228745520114899), ('Arrest', 0.07215035706758499), ('Robbery', 0.07172054052352905), ('Arson', 0.07105903327465057), ('Shoplifting', 0.06812537461519241)]
RoadAccidents008: [('Explosion', 0.07583283632993698), ('Assault', 0.07546580582857132), ('Fighting', 0.07465971261262894), ('Shooting', 0.07464912533760071), ('Abuse', 0.07454132288694382), ('Arrest', 0.07442650943994522), ('Burglary', 0.07441411167383194), ('Normal Videos', 0.07366092503070831), ('Stealing', 0.0736469253897667), ('Vandalism', 0.07340707629919052), ('Road Accidents', 0.07316026091575623), ('Robbery', 0.07173128426074982), ('Arson', 0.07070674747228622), ('Shoplifting', 0.06845095008611679)]
RoadAccidents031: [('Burglary', 0.07799956202507019), ('Vandalism', 0.07781161367893219), ('Road Accidents', 0.0772089809179306), ('Explosion', 0.07544323056936264), ('Assault', 0.0746023878455162), ('Abuse', 0.07458479702472687), ('Fighting', 0.07450411468744278), ('Shooting', 0.07447098940610886), ('Normal Videos', 0.07432244718074799), ('Stealing', 0.07372698187828064), ('Arrest', 0.0736103281378746), ('Shoplifting', 0.07357719540596008), ('Robbery', 0.07327674329280853), ('Arson', 0.07254112511873245)]
RoadAccidents086: [('Explosion', 0.07641905546188354), ('Burglary', 0.07632531225681305), ('Vandalism', 0.07615506649017334), ('Assault', 0.0756380707025528), ('Road Accidents', 0.07549084722995758), ('Shooting', 0.07523603737354279), ('Fighting', 0.07444781064987183), ('Arrest', 0.07441271841526031), ('Abuse', 0.07392843812704086), ('Normal Videos', 0.07338650524616241), ('Stealing', 0.07207714766263962), ('Robbery', 0.07195761799812317), ('Arson', 0.07169095426797867), ('Shoplifting', 0.06993266195058823)]
RoadAccidents029: [('Explosion', 0.07570327073335648), ('Burglary', 0.07505575567483902), ('Road Accidents', 0.07491892576217651), ('Normal Videos', 0.07348092645406723), ('Assault', 0.0732874646782875), ('Shooting', 0.07316683232784271), ('Fighting', 0.07298614829778671), ('Abuse', 0.07294825464487076), ('Arrest', 0.0725933387875557), ('Stealing', 0.07191244512796402), ('Vandalism', 0.07185110449790955), ('Arson', 0.07098938524723053), ('Robbery', 0.07044163346290588), ('Shoplifting', 0.06465448439121246)]
RoadAccidents032: [('Road Accidents', 0.0772089809179306), ('Burglary', 0.07641477882862091), ('Explosion', 0.07636597752571106), ('Vandalism', 0.07610517740249634), ('Assault', 0.07486097514629364), ('Robbery', 0.07482855021953583), ('Fighting', 0.07481466233730316), ('Abuse', 0.07453427463769913), ('Shooting', 0.07440397888422012), ('Arrest', 0.0741984024643898), ('Shoplifting', 0.07405206561088562), ('Stealing', 0.07387024164199829), ('Normal Videos', 0.07370419055223465), ('Arson', 0.07203925400972366)]
RoadAccidents025: [('Burglary', 0.07633577287197113), ('Road Accidents', 0.07558764517307281), ('Explosion', 0.07524038106203079), ('Vandalism', 0.07485395669937134), ('Normal Videos', 0.07409292459487915), ('Shooting', 0.07335150986909866), ('Fighting', 0.07296407222747803), ('Abuse', 0.07232631742954254), ('Assault', 0.07224614918231964), ('Arson', 0.07170581072568893), ('Arrest', 0.07167550176382065), ('Stealing', 0.07162421941757202), ('Robbery', 0.07106129080057144), ('Shoplifting', 0.0683668777346611)]
RoadAccidents043: [('Burglary', 0.07526009529829025), ('Road Accidents', 0.07476995885372162), ('Explosion', 0.07431991398334503), ('Vandalism', 0.07424523681402206), ('Normal Videos', 0.07422292977571487), ('Fighting', 0.07324375212192535), ('Shooting', 0.0731707289814949), ('Abuse', 0.07264997065067291), ('Assault', 0.07216472178697586), ('Robbery', 0.0721587985754013), ('Stealing', 0.07209543883800507), ('Arrest', 0.07181015610694885), ('Arson', 0.07068996131420135), ('Shoplifting', 0.06852532178163528)]
RoadAccidents113: [('Explosion', 0.07538339495658875), ('Fighting', 0.0747719258069992), ('Road Accidents', 0.0747615396976471), ('Shooting', 0.07455431669950485), ('Assault', 0.07448795437812805), ('Abuse', 0.07433995604515076), ('Normal Videos', 0.07409240305423737), ('Arrest', 0.07378286868333817), ('Burglary', 0.07361648976802826), ('Stealing', 0.07360688596963882), ('Vandalism', 0.0723835751414299), ('Robbery', 0.07180968672037125), ('Arson', 0.07122475653886795), ('Shoplifting', 0.06736664474010468)]
RoadAccidents053: [('Burglary', 0.07622043788433075), ('Explosion', 0.07549053430557251), ('Vandalism', 0.07512596994638443), ('Road Accidents', 0.07501819729804993), ('Assault', 0.07398278266191483), ('Fighting', 0.07386405766010284), ('Abuse', 0.07382291555404663), ('Shooting', 0.07375644147396088), ('Stealing', 0.07359283417463303), ('Normal Videos', 0.07348241657018661), ('Arrest', 0.07338690012693405), ('Robbery', 0.07251251488924026), ('Shoplifting', 0.07138197124004364), ('Arson', 0.07123254239559174)]
RoadAccidents017: [('Road Accidents', 0.076350137591362), ('Burglary', 0.07481157034635544), ('Explosion', 0.07384459674358368), ('Normal Videos', 0.07354736328125), ('Vandalism', 0.07315284013748169), ('Shooting', 0.0727599635720253), ('Fighting', 0.07226554304361343), ('Abuse', 0.07185819745063782), ('Arrest', 0.07182882726192474), ('Assault', 0.07173500955104828), ('Stealing', 0.07133542746305466), ('Robbery', 0.07099684327840805), ('Arson', 0.07034700363874435), ('Shoplifting', 0.0665920227766037)]
RoadAccidents065: [('Road Accidents', 0.07580476999282837), ('Vandalism', 0.07572630792856216), ('Burglary', 0.07470861077308655), ('Explosion', 0.07324905693531036), ('Normal Videos', 0.07201648503541946), ('Shooting', 0.07121660560369492), ('Arson', 0.07115442305803299), ('Robbery', 0.07092653959989548), ('Fighting', 0.07092321664094925), ('Abuse', 0.07088334113359451), ('Assault', 0.07017160207033157), ('Stealing', 0.06984607130289078), ('Arrest', 0.06975574791431427), ('Shoplifting', 0.06788258254528046)]
RoadAccidents033: [('Robbery', 0.07322851568460464), ('Vandalism', 0.07281491905450821), ('Burglary', 0.07268068939447403), ('Road Accidents', 0.0726495236158371), ('Normal Videos', 0.07224159687757492), ('Fighting', 0.07171530276536942), ('Stealing', 0.07151859253644943), ('Explosion', 0.0713217481970787), ('Shooting', 0.07119794934988022), ('Abuse', 0.07091954350471497), ('Arson', 0.07079939544200897), ('Shoplifting', 0.07005354017019272), ('Assault', 0.06942974776029587), ('Arrest', 0.06942889839410782)]
RoadAccidents143: [('Explosion', 0.07545427232980728), ('Vandalism', 0.07471276819705963), ('Fighting', 0.07442160695791245), ('Burglary', 0.07424511760473251), ('Assault', 0.07398449629545212), ('Road Accidents', 0.07397985458374023), ('Abuse', 0.07386232912540436), ('Shooting', 0.07381149381399155), ('Normal Videos', 0.07350588589906693), ('Stealing', 0.07331064343452454), ('Arrest', 0.07321316003799438), ('Robbery', 0.07224677503108978), ('Shoplifting', 0.07184983044862747), ('Arson', 0.07123254239559174)]
RoadAccidents114: [('Burglary', 0.07873375713825226), ('Vandalism', 0.07636737823486328), ('Explosion', 0.07549053430557251), ('Road Accidents', 0.07535344362258911), ('Normal Videos', 0.07401889562606812), ('Assault', 0.07398278266191483), ('Fighting', 0.07386405766010284), ('Abuse', 0.07382291555404663), ('Shooting', 0.07375644147396088), ('Stealing', 0.07359283417463303), ('Arrest', 0.07338690012693405), ('Robbery', 0.07197302579879761), ('Arson', 0.07174647599458694), ('Shoplifting', 0.06956905126571655)]
RoadAccidents027: [('Normal Videos', 0.07382224500179291), ('Vandalism', 0.07377645373344421), ('Fighting', 0.07326424866914749), ('Explosion', 0.07288746535778046), ('Shooting', 0.07285940647125244), ('Burglary', 0.07285631448030472), ('Road Accidents', 0.07278423011302948), ('Robbery', 0.07247751206159592), ('Stealing', 0.07243189215660095), ('Abuse', 0.07220955193042755), ('Arrest', 0.07174697518348694), ('Assault', 0.07144518196582794), ('Shoplifting', 0.07033707201480865), ('Arson', 0.07000561058521271)]
RoadAccidents149: [('Road Accidents', 0.07647492736577988), ('Explosion', 0.0744381695985794), ('Burglary', 0.07415290921926498), ('Vandalism', 0.07341858744621277), ('Normal Videos', 0.07341063022613525), ('Fighting', 0.07253076136112213), ('Arson', 0.07225150614976883), ('Shooting', 0.07212436199188232), ('Abuse', 0.07176781445741653), ('Assault', 0.07165957987308502), ('Arrest', 0.07087906450033188), ('Stealing', 0.07072720676660538), ('Robbery', 0.06961368769407272), ('Shoplifting', 0.06567786633968353)]
RoadAccidents131: [('Road Accidents', 0.07598904520273209), ('Explosion', 0.07492538541555405), ('Normal Videos', 0.0745798796415329), ('Shooting', 0.07382688671350479), ('Fighting', 0.07351401448249817), ('Assault', 0.07346445322036743), ('Burglary', 0.07327986508607864), ('Robbery', 0.07322851568460464), ('Vandalism', 0.07281491905450821), ('Abuse', 0.0727032795548439), ('Arrest', 0.07254502177238464), ('Stealing', 0.07207445800304413), ('Arson', 0.07079939544200897), ('Shoplifting', 0.07005354017019272)]
RoadAccidents096: [('Burglary', 0.07622043788433075), ('Explosion', 0.07613582909107208), ('Road Accidents', 0.07501819729804993), ('Assault', 0.07486097514629364), ('Abuse', 0.07445339113473892), ('Shooting', 0.07440397888422012), ('Fighting', 0.07432480156421661), ('Arrest', 0.0741984024643898), ('Stealing', 0.07387024164199829), ('Normal Videos', 0.07323354482650757), ('Vandalism', 0.0731474980711937), ('Arson', 0.07075390964746475), ('Robbery', 0.07040321826934814), ('Shoplifting', 0.0648893415927887)]
RoadAccidents119: [('Burglary', 0.07637947052717209), ('Road Accidents', 0.07574905455112457), ('Explosion', 0.07527628540992737), ('Shooting', 0.07479719072580338), ('Assault', 0.07445764541625977), ('Fighting', 0.07443109154701233), ('Abuse', 0.07423004508018494), ('Normal Videos', 0.07361257076263428), ('Vandalism', 0.07356104999780655), ('Arrest', 0.07340399920940399), ('Stealing', 0.07324027270078659), ('Robbery', 0.07322851568460464), ('Arson', 0.0714656338095665), ('Shoplifting', 0.07005354017019272)]
RoadAccidents135: [('Burglary', 0.07664824277162552), ('Explosion', 0.07537686079740524), ('Road Accidents', 0.07522166520357132), ('Assault', 0.0750708058476448), ('Fighting', 0.07492650300264359), ('Vandalism', 0.07492470741271973), ('Abuse', 0.07483985275030136), ('Shooting', 0.07458686828613281), ('Arrest', 0.07421621680259705), ('Stealing', 0.07367734611034393), ('Normal Videos', 0.07363448292016983), ('Robbery', 0.07235722243785858), ('Shoplifting', 0.07187577337026596), ('Arson', 0.07151415944099426)]
RoadAccidents075: [('Burglary', 0.07495483011007309), ('Road Accidents', 0.07493855059146881), ('Vandalism', 0.07446664571762085), ('Explosion', 0.07388022541999817), ('Robbery', 0.07380557060241699), ('Normal Videos', 0.07334443926811218), ('Shooting', 0.0729871392250061), ('Fighting', 0.07259167730808258), ('Assault', 0.07234957814216614), ('Stealing', 0.07217126339673996), ('Abuse', 0.07197880744934082), ('Arrest', 0.07178312540054321), ('Arson', 0.07076107710599899), ('Shoplifting', 0.06877125054597855)]
RoadAccidents042: [('Assault', 0.07522648572921753), ('Road Accidents', 0.0750911757349968), ('Shooting', 0.07503392547369003), ('Abuse', 0.07503282278776169), ('Explosion', 0.0749640166759491), ('Fighting', 0.07482220977544785), ('Arrest', 0.07445324957370758), ('Vandalism', 0.07410532981157303), ('Stealing', 0.07403355836868286), ('Normal Videos', 0.07389221340417862), ('Robbery', 0.073308065533638), ('Burglary', 0.07248073816299438), ('Shoplifting', 0.07207955420017242), ('Arson', 0.07097381353378296)]
RoadAccidents094: [('Road Accidents', 0.07899492233991623), ('Burglary', 0.07889961451292038), ('Vandalism', 0.07773339003324509), ('Explosion', 0.07613582909107208), ('Assault', 0.07486097514629364), ('Abuse', 0.07445339113473892), ('Shooting', 0.07440397888422012), ('Fighting', 0.07432480156421661), ('Arrest', 0.0741984024643898), ('Stealing', 0.07387024164199829), ('Arson', 0.07336781173944473), ('Normal Videos', 0.07303391396999359), ('Robbery', 0.07174795866012573), ('Shoplifting', 0.0698414295911789)]
RoadAccidents048: [('Explosion', 0.07606483995914459), ('Road Accidents', 0.07593496888875961), ('Burglary', 0.07554612308740616), ('Vandalism', 0.07496767491102219), ('Normal Videos', 0.07472223788499832), ('Assault', 0.07422807812690735), ('Abuse', 0.07403960078954697), ('Shooting', 0.07379406690597534), ('Fighting', 0.07371297478675842), ('Arrest', 0.07347336411476135), ('Stealing', 0.07314004749059677), ('Robbery', 0.07275375723838806), ('Shoplifting', 0.07131332159042358), ('Arson', 0.07076562941074371)]
RoadAccidents007: [('Burglary', 0.07622043788433075), ('Road Accidents', 0.07501819729804993), ('Explosion', 0.07452353090047836), ('Normal Videos', 0.07371353358030319), ('Shooting', 0.07342264801263809), ('Fighting', 0.0733441561460495), ('Vandalism', 0.0731474980711937), ('Stealing', 0.0728253722190857), ('Abuse', 0.07274835556745529), ('Arrest', 0.07263073325157166), ('Assault', 0.07237119227647781), ('Robbery', 0.07186348736286163), ('Arson', 0.07075241208076477), ('Shoplifting', 0.0680265873670578)]
RoadAccidents071: [('Burglary', 0.0756150484085083), ('Road Accidents', 0.07471171021461487), ('Explosion', 0.07430903613567352), ('Normal Videos', 0.07264772057533264), ('Vandalism', 0.07221801578998566), ('Shooting', 0.07212290912866592), ('Fighting', 0.07177937030792236), ('Assault', 0.07175623625516891), ('Abuse', 0.07144666463136673), ('Arrest', 0.071406289935112), ('Arson', 0.07115235924720764), ('Stealing', 0.07058890908956528), ('Robbery', 0.06972260773181915), ('Shoplifting', 0.06295141577720642)]
