RoadAccidents055_x264: [('Road Accidents', 0.07655795), ('Vandalism', 0.07618109), ('Burglary', 0.07535075), ('Normal Videos', 0.07352999), ('Arson', 0.072182134), ('Explosion', 0.071565166), ('Robbery', 0.07052415), ('Shooting', 0.07033746), ('Abuse', 0.069441), ('Fighting', 0.069360316), ('Shoplifting', 0.0691673), ('Assault', 0.06883312), ('Arrest', 0.0687745), ('Stealing', 0.06819511)]
RoadAccidents126_x264: [('Road Accidents', 0.0765842), ('Burglary', 0.074670345), ('Shoplifting', 0.07432205), ('Vandalism', 0.07411115), ('Arson', 0.07407678), ('Normal Videos', 0.07406878), ('Robbery', 0.07223168), ('Explosion', 0.07082711), ('Fighting', 0.069595054), ('Shooting', 0.069184385), ('Abuse', 0.068205245), ('Stealing', 0.06815391), ('Arrest', 0.06753653), ('Assault', 0.066432774)]
RoadAccidents146_x264: [('Burglary', 0.079263255), ('Vandalism', 0.078819856), ('Road Accidents', 0.07740964), ('Normal Videos', 0.073988035), ('Shoplifting', 0.073673524), ('Arson', 0.0731969), ('Robbery', 0.071675844), ('Explosion', 0.07035033), ('Shooting', 0.068121456), ('Fighting', 0.06770254), ('Abuse', 0.06700595), ('Arrest', 0.0664884), ('Stealing', 0.06627106), ('Assault', 0.066033244)]
RoadAccidents128_x264: [('Vandalism', 0.07844236), ('Road Accidents', 0.077059105), ('Burglary', 0.076723576), ('Arson', 0.07313076), ('Normal Videos', 0.072868586), ('Shoplifting', 0.07239524), ('Explosion', 0.071090825), ('Robbery', 0.07102797), ('Shooting', 0.06922729), ('Fighting', 0.068569556), ('Abuse', 0.06795789), ('Arrest', 0.06749436), ('Stealing', 0.06714288), ('Assault', 0.06686963)]
RoadAccidents039_x264: [('Burglary', 0.0793576), ('Vandalism', 0.07897008), ('Road Accidents', 0.07709419), ('Arson', 0.07288057), ('Normal Videos', 0.07249188), ('Explosion', 0.07204532), ('Shoplifting', 0.07090677), ('Robbery', 0.07052976), ('Fighting', 0.06835971), ('Shooting', 0.06812007), ('Abuse', 0.06800255), ('Arrest', 0.06723622), ('Stealing', 0.06703284), ('Assault', 0.066972435)]
RoadAccidents116_x264: [('Road Accidents', 0.076050185), ('Vandalism', 0.07496776), ('Burglary', 0.074066676), ('Arson', 0.072398715), ('Explosion', 0.072276615), ('Normal Videos', 0.071653634), ('Fighting', 0.07085944), ('Abuse', 0.07077939), ('Shooting', 0.07036189), ('Robbery', 0.0697), ('Assault', 0.0696517), ('Shoplifting', 0.06949622), ('Arrest', 0.06889101), ('Stealing', 0.068846785)]
RoadAccidents148_x264: [('Vandalism', 0.07793142), ('Burglary', 0.07776745), ('Road Accidents', 0.07738847), ('Shoplifting', 0.07611902), ('Arson', 0.07593715), ('Robbery', 0.07207412), ('Normal Videos', 0.071143195), ('Explosion', 0.07013317), ('Fighting', 0.067983225), ('Shooting', 0.06747977), ('Abuse', 0.06723506), ('Stealing', 0.06678077), ('Arrest', 0.066122405), ('Assault', 0.06590471)]
RoadAccidents103_x264: [('Vandalism', 0.07589609), ('Road Accidents', 0.07576999), ('Burglary', 0.07535797), ('Shoplifting', 0.07526833), ('Normal Videos', 0.074298985), ('Arson', 0.07344341), ('Robbery', 0.07273719), ('Explosion', 0.07005049), ('Fighting', 0.06913168), ('Shooting', 0.06901731), ('Stealing', 0.06795573), ('Abuse', 0.06791155), ('Arrest', 0.066805), ('Assault', 0.06635625)]
RoadAccidents074_x264: [('Road Accidents', 0.078233175), ('Vandalism', 0.07729182), ('Burglary', 0.0763155), ('Arson', 0.07447885), ('Shoplifting', 0.07328253), ('Normal Videos', 0.07165341), ('Explosion', 0.07120315), ('Robbery', 0.070312805), ('Fighting', 0.06858547), ('Shooting', 0.06852994), ('Abuse', 0.0680985), ('Arrest', 0.06794946), ('Assault', 0.06736964), ('Stealing', 0.066695735)]
RoadAccidents012_x264: [('Vandalism', 0.079360805), ('Burglary', 0.07792509), ('Road Accidents', 0.07741398), ('Shoplifting', 0.07601798), ('Arson', 0.073653474), ('Robbery', 0.07299273), ('Normal Videos', 0.07231002), ('Explosion', 0.07015995), ('Fighting', 0.06759386), ('Shooting', 0.06707667), ('Stealing', 0.06692585), ('Abuse', 0.06691086), ('Arrest', 0.06630511), ('Assault', 0.06535362)]
RoadAccidents006_x264: [('Burglary', 0.07824205), ('Road Accidents', 0.07725251), ('Vandalism', 0.07604522), ('Arson', 0.07492257), ('Shoplifting', 0.073784746), ('Normal Videos', 0.07165857), ('Robbery', 0.071308106), ('Explosion', 0.07064229), ('Fighting', 0.06899229), ('Shooting', 0.068242066), ('Abuse', 0.06779382), ('Stealing', 0.067341655), ('Arrest', 0.06715077), ('Assault', 0.06662333)]
RoadAccidents102_x264: [('Vandalism', 0.08149749), ('Burglary', 0.08070645), ('Road Accidents', 0.0779532), ('Shoplifting', 0.074228406), ('Arson', 0.07404801), ('Robbery', 0.07245696), ('Normal Videos', 0.07113383), ('Explosion', 0.069821045), ('Abuse', 0.06713862), ('Shooting', 0.06669227), ('Stealing', 0.06633567), ('Fighting', 0.066223636), ('Arrest', 0.06616171), ('Assault', 0.06560267)]
RoadAccidents068_x264: [('Vandalism', 0.07915927), ('Road Accidents', 0.07637997), ('Shoplifting', 0.07561627), ('Burglary', 0.075571075), ('Normal Videos', 0.07330938), ('Arson', 0.07326768), ('Robbery', 0.07124857), ('Explosion', 0.07035497), ('Shooting', 0.06864339), ('Fighting', 0.068410195), ('Abuse', 0.068084285), ('Stealing', 0.06691156), ('Arrest', 0.066838935), ('Assault', 0.06620436)]
RoadAccidents077_x264: [('Vandalism', 0.077270865), ('Burglary', 0.07713996), ('Road Accidents', 0.076476365), ('Shoplifting', 0.07504625), ('Arson', 0.07415999), ('Normal Videos', 0.07322775), ('Robbery', 0.071886696), ('Explosion', 0.07038607), ('Fighting', 0.06873434), ('Shooting', 0.06840892), ('Abuse', 0.06734871), ('Stealing', 0.067189194), ('Arrest', 0.06643733), ('Assault', 0.06628756)]
RoadAccidents021_x264: [('Vandalism', 0.0809826), ('Burglary', 0.079446666), ('Road Accidents', 0.07638552), ('Shoplifting', 0.07594992), ('Arson', 0.07337341), ('Robbery', 0.07297743), ('Normal Videos', 0.07148357), ('Explosion', 0.07082475), ('Shooting', 0.0669208), ('Fighting', 0.066844024), ('Abuse', 0.06663985), ('Stealing', 0.06656265), ('Arrest', 0.06601169), ('Assault', 0.06559716)]
RoadAccidents110_x264: [('Vandalism', 0.07904741), ('Road Accidents', 0.07695785), ('Burglary', 0.07661128), ('Shoplifting', 0.07389737), ('Normal Videos', 0.07349059), ('Arson', 0.07295595), ('Robbery', 0.07153725), ('Explosion', 0.0708073), ('Shooting', 0.06853742), ('Fighting', 0.06850479), ('Abuse', 0.06767059), ('Arrest', 0.0668364), ('Stealing', 0.06680731), ('Assault', 0.06633853)]
RoadAccidents058_x264: [('Vandalism', 0.078513876), ('Road Accidents', 0.07802484), ('Burglary', 0.07698076), ('Shoplifting', 0.07398638), ('Arson', 0.0735236), ('Normal Videos', 0.07232073), ('Explosion', 0.07120118), ('Robbery', 0.070979975), ('Fighting', 0.068463326), ('Abuse', 0.06828982), ('Shooting', 0.06810903), ('Stealing', 0.066779375), ('Arrest', 0.066421516), ('Assault', 0.066405624)]
RoadAccidents091_x264: [('Vandalism', 0.07914416), ('Burglary', 0.07810919), ('Road Accidents', 0.0773443), ('Shoplifting', 0.07720404), ('Arson', 0.074193664), ('Normal Videos', 0.07289434), ('Robbery', 0.07225774), ('Explosion', 0.069936596), ('Fighting', 0.06766745), ('Shooting', 0.067375965), ('Abuse', 0.06657768), ('Stealing', 0.06632235), ('Arrest', 0.06594264), ('Assault', 0.06502996)]
RoadAccidents008_x264: [('Burglary', 0.07953816), ('Vandalism', 0.078358226), ('Road Accidents', 0.07729797), ('Shoplifting', 0.075373724), ('Arson', 0.074906915), ('Robbery', 0.07210331), ('Normal Videos', 0.07080127), ('Explosion', 0.07029517), ('Fighting', 0.06820559), ('Shooting', 0.06780796), ('Abuse', 0.067049384), ('Stealing', 0.06653932), ('Arrest', 0.066089876), ('Assault', 0.0656332)]
RoadAccidents031_x264: [('Vandalism', 0.081025995), ('Shoplifting', 0.07933328), ('Road Accidents', 0.0785265), ('Burglary', 0.07820028), ('Arson', 0.074098706), ('Robbery', 0.07276245), ('Normal Videos', 0.072173424), ('Explosion', 0.06902565), ('Abuse', 0.066432945), ('Fighting', 0.06632615), ('Shooting', 0.06614061), ('Stealing', 0.06611696), ('Arrest', 0.06551906), ('Assault', 0.064318)]
RoadAccidents086_x264: [('Vandalism', 0.07805175), ('Road Accidents', 0.077097654), ('Burglary', 0.076770686), ('Shoplifting', 0.07433349), ('Normal Videos', 0.0740046), ('Arson', 0.07333759), ('Robbery', 0.07236027), ('Explosion', 0.07018429), ('Shooting', 0.068451054), ('Fighting', 0.06823072), ('Stealing', 0.06725406), ('Abuse', 0.066982694), ('Arrest', 0.066922456), ('Assault', 0.06601872)]
RoadAccidents029_x264: [('Road Accidents', 0.077179536), ('Burglary', 0.07693999), ('Vandalism', 0.07518622), ('Explosion', 0.073061645), ('Arson', 0.072895244), ('Normal Videos', 0.07246409), ('Shooting', 0.070791095), ('Fighting', 0.070274204), ('Robbery', 0.069271445), ('Arrest', 0.0691881), ('Assault', 0.06915257), ('Abuse', 0.06909154), ('Stealing', 0.06786768), ('Shoplifting', 0.066636644)]
RoadAccidents032_x264: [('Road Accidents', 0.07782424), ('Burglary', 0.0774839), ('Vandalism', 0.07647579), ('Arson', 0.07351886), ('Shoplifting', 0.07345457), ('Normal Videos', 0.07292802), ('Robbery', 0.07131452), ('Explosion', 0.07095137), ('Fighting', 0.06886857), ('Shooting', 0.06840848), ('Abuse', 0.06806931), ('Stealing', 0.06712367), ('Arrest', 0.06691986), ('Assault', 0.06665883)]
RoadAccidents025_x264: [('Burglary', 0.07647634), ('Road Accidents', 0.07602921), ('Vandalism', 0.07557041), ('Normal Videos', 0.074015334), ('Arson', 0.073189035), ('Explosion', 0.07156008), ('Shoplifting', 0.071273066), ('Robbery', 0.07081142), ('Shooting', 0.06975711), ('Fighting', 0.06953704), ('Abuse', 0.06842596), ('Stealing', 0.067823365), ('Arrest', 0.06781227), ('Assault', 0.067719355)]
RoadAccidents043_x264: [('Road Accidents', 0.07571293), ('Vandalism', 0.0744977), ('Normal Videos', 0.07426989), ('Burglary', 0.074216805), ('Explosion', 0.072006226), ('Arson', 0.07189852), ('Robbery', 0.07080213), ('Shooting', 0.07054943), ('Fighting', 0.07036158), ('Abuse', 0.06984621), ('Shoplifting', 0.069516785), ('Stealing', 0.06906011), ('Assault', 0.068644136), ('Arrest', 0.068617545)]
RoadAccidents113_x264: [('Vandalism', 0.0788898), ('Road Accidents', 0.07770566), ('Burglary', 0.07692997), ('Shoplifting', 0.07681384), ('Arson', 0.07563835), ('Robbery', 0.07164476), ('Normal Videos', 0.07158016), ('Explosion', 0.07001114), ('Fighting', 0.06803861), ('Shooting', 0.06759052), ('Abuse', 0.06704573), ('Stealing', 0.066209145), ('Arrest', 0.06603096), ('Assault', 0.065871306)]
RoadAccidents053_x264: [('Vandalism', 0.08038632), ('Burglary', 0.079172745), ('Shoplifting', 0.078307725), ('Road Accidents', 0.076387055), ('Arson', 0.07402592), ('Robbery', 0.07312445), ('Normal Videos', 0.072519146), ('Explosion', 0.0699714), ('Fighting', 0.06693546), ('Shooting', 0.06650389), ('Stealing', 0.066432655), ('Abuse', 0.06624476), ('Arrest', 0.06555227), ('Assault', 0.06443617)]
RoadAccidents017_x264: [('Vandalism', 0.08118789), ('Burglary', 0.08003086), ('Road Accidents', 0.07836261), ('Shoplifting', 0.07493776), ('Arson', 0.07326744), ('Normal Videos', 0.07226626), ('Robbery', 0.071710184), ('Explosion', 0.070662625), ('Shooting', 0.067243), ('Fighting', 0.06713859), ('Abuse', 0.066325046), ('Arrest', 0.065995194), ('Stealing', 0.06578455), ('Assault', 0.06508799)]
RoadAccidents065_x264: [('Vandalism', 0.07972878), ('Burglary', 0.076006286), ('Road Accidents', 0.07552718), ('Shoplifting', 0.074498), ('Normal Videos', 0.07242123), ('Robbery', 0.07226956), ('Arson', 0.07156197), ('Explosion', 0.07069272), ('Fighting', 0.06854216), ('Abuse', 0.06840592), ('Stealing', 0.06799621), ('Shooting', 0.06794723), ('Arrest', 0.06734852), ('Assault', 0.06705432)]
RoadAccidents033_x264: [('Road Accidents', 0.07651756), ('Burglary', 0.07523881), ('Vandalism', 0.074939765), ('Arson', 0.07317428), ('Normal Videos', 0.07252284), ('Shoplifting', 0.07243312), ('Robbery', 0.0714545), ('Explosion', 0.071184985), ('Shooting', 0.06986484), ('Fighting', 0.06963222), ('Abuse', 0.06882565), ('Stealing', 0.06844571), ('Arrest', 0.068074875), ('Assault', 0.06769079)]
RoadAccidents143_x264: [('Vandalism', 0.07847742), ('Burglary', 0.078326136), ('Road Accidents', 0.076755725), ('Shoplifting', 0.07409011), ('Arson', 0.07338101), ('Normal Videos', 0.071987465), ('Robbery', 0.07160687), ('Explosion', 0.070933536), ('Fighting', 0.068426006), ('Shooting', 0.06810665), ('Abuse', 0.067649715), ('Stealing', 0.067140035), ('Arrest', 0.066774175), ('Assault', 0.066345096)]
RoadAccidents114_x264: [('Vandalism', 0.07966771), ('Burglary', 0.07712747), ('Road Accidents', 0.07705852), ('Shoplifting', 0.07685064), ('Arson', 0.074028276), ('Normal Videos', 0.07257377), ('Robbery', 0.07188752), ('Explosion', 0.06966753), ('Fighting', 0.068132065), ('Shooting', 0.067460656), ('Abuse', 0.067426875), ('Stealing', 0.06654187), ('Arrest', 0.06600342), ('Assault', 0.06557376)]
RoadAccidents027_x264: [('Road Accidents', 0.075960666), ('Burglary', 0.07448629), ('Vandalism', 0.074198864), ('Normal Videos', 0.07320391), ('Explosion', 0.07279089), ('Arson', 0.07157384), ('Shooting', 0.07138215), ('Fighting', 0.071129434), ('Abuse', 0.07029186), ('Arrest', 0.07006179), ('Assault', 0.06996837), ('Robbery', 0.06925633), ('Stealing', 0.069006324), ('Shoplifting', 0.06668925)]
RoadAccidents149_x264: [('Road Accidents', 0.076662295), ('Vandalism', 0.07401338), ('Burglary', 0.07390551), ('Normal Videos', 0.072553225), ('Arson', 0.0720485), ('Explosion', 0.07172701), ('Fighting', 0.07104241), ('Shoplifting', 0.07039667), ('Robbery', 0.07027057), ('Shooting', 0.070205994), ('Abuse', 0.07004857), ('Assault', 0.06910386), ('Arrest', 0.06907161), ('Stealing', 0.06895032)]
RoadAccidents131_x264: [('Vandalism', 0.07778856), ('Road Accidents', 0.077447675), ('Burglary', 0.07607871), ('Shoplifting', 0.07577465), ('Arson', 0.074019246), ('Normal Videos', 0.07308152), ('Robbery', 0.07195959), ('Explosion', 0.06972425), ('Fighting', 0.06864653), ('Shooting', 0.06826934), ('Abuse', 0.06727731), ('Stealing', 0.066844665), ('Arrest', 0.066757776), ('Assault', 0.066330105)]
RoadAccidents096_x264: [('Vandalism', 0.08197361), ('Shoplifting', 0.08007616), ('Burglary', 0.07817488), ('Road Accidents', 0.07729092), ('Arson', 0.0740694), ('Robbery', 0.07291816), ('Normal Videos', 0.07248576), ('Explosion', 0.0692513), ('Fighting', 0.06631956), ('Shooting', 0.06627112), ('Abuse', 0.066131495), ('Stealing', 0.065776214), ('Arrest', 0.06505963), ('Assault', 0.06420173)]
RoadAccidents119_x264: [('Road Accidents', 0.07631369), ('Burglary', 0.07629654), ('Vandalism', 0.07618108), ('Arson', 0.07390123), ('Shoplifting', 0.073778205), ('Normal Videos', 0.073046066), ('Robbery', 0.07116616), ('Explosion', 0.07074272), ('Fighting', 0.069390595), ('Shooting', 0.069126844), ('Abuse', 0.06799237), ('Stealing', 0.06755304), ('Arrest', 0.06728006), ('Assault', 0.0672314)]
RoadAccidents135_x264: [('Vandalism', 0.07838074), ('Road Accidents', 0.077813976), ('Burglary', 0.07712811), ('Shoplifting', 0.074454464), ('Arson', 0.07289078), ('Normal Videos', 0.072634295), ('Robbery', 0.071119614), ('Explosion', 0.0700579), ('Shooting', 0.068845384), ('Fighting', 0.06863953), ('Abuse', 0.067839436), ('Arrest', 0.06679686), ('Stealing', 0.06678901), ('Assault', 0.06660987)]
RoadAccidents075_x264: [('Road Accidents', 0.07627854), ('Vandalism', 0.076219365), ('Burglary', 0.075312525), ('Normal Videos', 0.074016534), ('Arson', 0.071535446), ('Explosion', 0.07122813), ('Robbery', 0.071077466), ('Shoplifting', 0.07063899), ('Shooting', 0.070042275), ('Fighting', 0.06962967), ('Abuse', 0.06909559), ('Arrest', 0.06859213), ('Stealing', 0.06839785), ('Assault', 0.0679355)]
RoadAccidents042_x264: [('Road Accidents', 0.077335835), ('Vandalism', 0.077164136), ('Burglary', 0.07631256), ('Arson', 0.07332661), ('Normal Videos', 0.07312282), ('Explosion', 0.07159426), ('Robbery', 0.070517644), ('Shoplifting', 0.070107), ('Shooting', 0.069765754), ('Fighting', 0.06886229), ('Abuse', 0.06860859), ('Arrest', 0.06810034), ('Assault', 0.06774934), ('Stealing', 0.06743279)]
RoadAccidents094_x264: [('Vandalism', 0.08188198), ('Shoplifting', 0.07793354), ('Burglary', 0.0774711), ('Road Accidents', 0.0771415), ('Arson', 0.07403898), ('Normal Videos', 0.07270402), ('Robbery', 0.071455844), ('Explosion', 0.0698863), ('Fighting', 0.067215525), ('Abuse', 0.06691834), ('Shooting', 0.06662466), ('Stealing', 0.0660564), ('Arrest', 0.06535498), ('Assault', 0.06531683)]
RoadAccidents048_x264: [('Road Accidents', 0.07652), ('Vandalism', 0.07615864), ('Burglary', 0.075214185), ('Normal Videos', 0.07428362), ('Shoplifting', 0.07289396), ('Arson', 0.0727158), ('Explosion', 0.07085514), ('Robbery', 0.07062543), ('Shooting', 0.06971646), ('Fighting', 0.06970494), ('Abuse', 0.068361364), ('Arrest', 0.06771433), ('Stealing', 0.06763138), ('Assault', 0.067604735)]
RoadAccidents007_x264: [('Burglary', 0.078282855), ('Vandalism', 0.07804975), ('Road Accidents', 0.07726207), ('Shoplifting', 0.076544404), ('Arson', 0.073528714), ('Normal Videos', 0.072572656), ('Robbery', 0.07241038), ('Explosion', 0.06980007), ('Fighting', 0.068376355), ('Shooting', 0.067798615), ('Abuse', 0.06705935), ('Stealing', 0.06691371), ('Arrest', 0.06606348), ('Assault', 0.06533763)]
RoadAccidents071_x264: [('Vandalism', 0.07993335), ('Burglary', 0.07890503), ('Road Accidents', 0.07802501), ('Shoplifting', 0.076029524), ('Arson', 0.07415082), ('Normal Videos', 0.07227541), ('Robbery', 0.07175259), ('Explosion', 0.069471136), ('Shooting', 0.06774905), ('Fighting', 0.06747998), ('Abuse', 0.066692844), ('Stealing', 0.06608875), ('Arrest', 0.06601728), ('Assault', 0.065429166)]
RoadAccidents144_x264: [('Road Accidents', 0.07735919), ('Burglary', 0.07608093), ('Vandalism', 0.07559297), ('Arson', 0.07499146), ('Normal Videos', 0.07301008), ('Shoplifting', 0.07300762), ('Robbery', 0.07098241), ('Explosion', 0.07054514), ('Fighting', 0.06946759), ('Shooting', 0.069058046), ('Abuse', 0.067710586), ('Assault', 0.06749299), ('Arrest', 0.06745028), ('Stealing', 0.06725073)]
RoadAccidents046_x264: [('Vandalism', 0.079525165), ('Burglary', 0.079071), ('Road Accidents', 0.076654285), ('Arson', 0.073567286), ('Shoplifting', 0.07314882), ('Normal Videos', 0.07275025), ('Robbery', 0.071349636), ('Explosion', 0.07093986), ('Fighting', 0.068093315), ('Shooting', 0.06777588), ('Abuse', 0.06736933), ('Arrest', 0.06687548), ('Stealing', 0.06671973), ('Assault', 0.06615996)]
RoadAccidents070_x264: [('Vandalism', 0.08000175), ('Burglary', 0.07780759), ('Road Accidents', 0.07670299), ('Shoplifting', 0.076224424), ('Robbery', 0.072543144), ('Arson', 0.072230704), ('Normal Videos', 0.07218441), ('Explosion', 0.069699354), ('Fighting', 0.06836866), ('Shooting', 0.06799811), ('Abuse', 0.06755399), ('Stealing', 0.0668575), ('Arrest', 0.06612306), ('Assault', 0.065704346)]
RoadAccidents087_x264: [('Road Accidents', 0.076109484), ('Burglary', 0.07598977), ('Vandalism', 0.0756987), ('Shoplifting', 0.07400224), ('Arson', 0.073900595), ('Normal Videos', 0.073811874), ('Robbery', 0.07136116), ('Explosion', 0.07074908), ('Shooting', 0.06902283), ('Fighting', 0.06869782), ('Abuse', 0.06819641), ('Stealing', 0.06768463), ('Arrest', 0.0675613), ('Assault', 0.067214146)]
RoadAccidents061_x264: [('Road Accidents', 0.0761531), ('Burglary', 0.0751515), ('Vandalism', 0.07513657), ('Arson', 0.074843615), ('Normal Videos', 0.07399976), ('Shoplifting', 0.07178393), ('Explosion', 0.071329854), ('Robbery', 0.0701947), ('Fighting', 0.07007732), ('Shooting', 0.06970668), ('Abuse', 0.06833197), ('Stealing', 0.068002485), ('Arrest', 0.06773585), ('Assault', 0.067552656)]
RoadAccidents005_x264: [('Road Accidents', 0.07661539), ('Burglary', 0.07569803), ('Vandalism', 0.07513776), ('Normal Videos', 0.074073724), ('Arson', 0.07281334), ('Explosion', 0.07247196), ('Robbery', 0.07048544), ('Shooting', 0.07021251), ('Fighting', 0.06986551), ('Shoplifting', 0.069382206), ('Abuse', 0.068837), ('Assault', 0.06821905), ('Arrest', 0.06817792), ('Stealing', 0.06801022)]
RoadAccidents098_x264: [('Road Accidents', 0.07799078), ('Vandalism', 0.07727477), ('Burglary', 0.076934606), ('Shoplifting', 0.07554472), ('Arson', 0.07389069), ('Normal Videos', 0.072411396), ('Robbery', 0.071844354), ('Explosion', 0.07041493), ('Fighting', 0.068300575), ('Shooting', 0.067946956), ('Abuse', 0.06789453), ('Stealing', 0.067039296), ('Arrest', 0.06648185), ('Assault', 0.06603051)]
RoadAccidents118_x264: [('Shoplifting', 0.08195274), ('Vandalism', 0.0810562), ('Burglary', 0.07772493), ('Road Accidents', 0.07573825), ('Robbery', 0.07449077), ('Arson', 0.0739573), ('Normal Videos', 0.07336667), ('Explosion', 0.06889304), ('Stealing', 0.06668814), ('Fighting', 0.06657663), ('Abuse', 0.06580657), ('Shooting', 0.065790355), ('Arrest', 0.06455464), ('Assault', 0.0634037)]
RoadAccidents002_x264: [('Vandalism', 0.07843473), ('Road Accidents', 0.07794238), ('Burglary', 0.07749887), ('Normal Videos', 0.072632104), ('Explosion', 0.07218146), ('Shoplifting', 0.07216309), ('Arson', 0.07213601), ('Robbery', 0.07060294), ('Fighting', 0.06892189), ('Abuse', 0.068281375), ('Shooting', 0.06820017), ('Stealing', 0.06722666), ('Arrest', 0.06697454), ('Assault', 0.066803806)]
RoadAccidents056_x264: [('Vandalism', 0.080893874), ('Burglary', 0.078078076), ('Road Accidents', 0.07741847), ('Shoplifting', 0.07559921), ('Arson', 0.07335107), ('Normal Videos', 0.07234462), ('Robbery', 0.07205297), ('Explosion', 0.069771), ('Shooting', 0.067878224), ('Fighting', 0.06759895), ('Abuse', 0.06700418), ('Arrest', 0.0662564), ('Stealing', 0.06623884), ('Assault', 0.06551412)]
