RoadAccidents055_x264: [('Road Accidents', 0.6942875), ('Vandalism', 0.6893528), ('Burglary', 0.67839336), ('Normal Videos', 0.6539328), ('Arson', 0.6354321), ('Explosion', 0.6268479), ('Robbery', 0.61219466), ('Shooting', 0.60954404), ('Abuse', 0.596717), ('Fighting', 0.59555435), ('Shoplifting', 0.5927677), ('Assault', 0.58792454), ('Arrest', 0.58707255), ('Stealing', 0.5786124)]
RoadAccidents058_x264: [('Vandalism', 0.63715863), ('Road Accidents', 0.6309105), ('Burglary', 0.6174388), ('Shoplifting', 0.57776433), ('Arson', 0.57148975), ('Normal Videos', 0.55499405), ('Explosion', 0.5393927), ('Robbery', 0.536281), ('Fighting', 0.5001815), ('Abuse', 0.49764383), ('Shooting', 0.49499303), ('Stealing', 0.4752775), ('Arrest', 0.46990427), ('Assault', 0.46966505)]
RoadAccidents091_x264: [('Vandalism', 0.45958912), ('Burglary', 0.44642588), ('Road Accidents', 0.43658507), ('Shoplifting', 0.43476996), ('Arson', 0.39499685), ('Normal Videos', 0.3773292), ('Robbery', 0.36855763), ('Explosion', 0.33590725), ('Fighting', 0.3029234), ('Shooting', 0.2986066), ('Abuse', 0.2866875), ('Stealing', 0.28284502), ('Arrest', 0.27710342), ('Assault', 0.26316622)]
RoadAccidents008_x264: [('Burglary', 0.5620178), ('Vandalism', 0.5470718), ('Road Accidents', 0.5334486), ('Shoplifting', 0.5082396), ('Arson', 0.50202715), ('Robbery', 0.4638808), ('Normal Videos', 0.44565788), ('Explosion', 0.438484), ('Fighting', 0.40830743), ('Shooting', 0.40246043), ('Abuse', 0.3912103), ('Stealing', 0.38357395), ('Arrest', 0.37679642), ('Assault', 0.3698625)]
RoadAccidents031_x264: [('Vandalism', 0.46350282), ('Shoplifting', 0.4423905), ('Road Accidents', 0.43216893), ('Burglary', 0.42800608), ('Arson', 0.37413087), ('Robbery', 0.3559329), ('Normal Videos', 0.34780464), ('Explosion', 0.30321094), ('Abuse', 0.26492593), ('Fighting', 0.26331693), ('Shooting', 0.26051575), ('Stealing', 0.26015812), ('Arrest', 0.2510739), ('Assault', 0.2325723)]
RoadAccidents086_x264: [('Vandalism', 0.522992), ('Road Accidents', 0.5106927), ('Burglary', 0.5064427), ('Shoplifting', 0.47418144), ('Normal Videos', 0.46974713), ('Arson', 0.46069318), ('Robbery', 0.44727734), ('Explosion', 0.41674435), ('Shooting', 0.39173877), ('Fighting', 0.38851476), ('Stealing', 0.37409732), ('Abuse', 0.37005422), ('Arrest', 0.3691545), ('Assault', 0.35555828)]
RoadAccidents029_x264: [('Road Accidents', 0.7635527), ('Burglary', 0.76044416), ('Vandalism', 0.73738635), ('Explosion', 0.7087219), ('Arson', 0.70644176), ('Normal Videos', 0.70050955), ('Shooting', 0.67715156), ('Fighting', 0.66982317), ('Robbery', 0.6554512), ('Arrest', 0.65424734), ('Assault', 0.6537336), ('Abuse', 0.6528507), ('Stealing', 0.6349783), ('Shoplifting', 0.616673)]
RoadAccidents032_x264: [('Road Accidents', 0.5821668), ('Burglary', 0.57778394), ('Vandalism', 0.5646881), ('Arson', 0.5252558), ('Shoplifting', 0.52438086), ('Normal Videos', 0.51718676), ('Robbery', 0.49481374), ('Explosion', 0.48970854), ('Fighting', 0.45991373), ('Shooting', 0.45321065), ('Abuse', 0.4482403), ('Stealing', 0.43425047), ('Arrest', 0.4312096), ('Assault', 0.42730132)]
RoadAccidents025_x264: [('Burglary', 0.6033228), ('Road Accidents', 0.59745896), ('Vandalism', 0.5914061), ('Normal Videos', 0.5706137), ('Arson', 0.559387), ('Explosion', 0.53687876), ('Shoplifting', 0.5328598), ('Robbery', 0.5263617), ('Shooting', 0.5113607), ('Fighting', 0.508201), ('Abuse', 0.49209365), ('Stealing', 0.48324814), ('Arrest', 0.4830845), ('Assault', 0.4817134)]
RoadAccidents043_x264: [('Road Accidents', 0.73366785), ('Vandalism', 0.7174872), ('Normal Videos', 0.7144246), ('Burglary', 0.7137096), ('Explosion', 0.6834715), ('Arson', 0.6819746), ('Robbery', 0.6666081), ('Shooting', 0.66303253), ('Fighting', 0.6603663), ('Abuse', 0.6530148), ('Shoplifting', 0.6482872), ('Stealing', 0.6416962), ('Assault', 0.6356547), ('Arrest', 0.6352672)]
RoadAccidents113_x264: [('Vandalism', 0.47058445), ('Road Accidents', 0.4554606), ('Burglary', 0.445428), ('Shoplifting', 0.44391733), ('Arson', 0.42849588), ('Robbery', 0.37425256), ('Normal Videos', 0.37335038), ('Explosion', 0.35118684), ('Fighting', 0.32260787), ('Shooting', 0.31600028), ('Abuse', 0.30790752), ('Stealing', 0.29535103), ('Arrest', 0.2926561), ('Assault', 0.29023546)]
RoadAccidents053_x264: [('Vandalism', 0.48538515), ('Burglary', 0.47017333), ('Shoplifting', 0.45918745), ('Road Accidents', 0.4343544), ('Arson', 0.4029565), ('Robbery', 0.39070395), ('Normal Videos', 0.38239175), ('Explosion', 0.34662774), ('Fighting', 0.30227), ('Shooting', 0.2958016), ('Stealing', 0.29472992), ('Abuse', 0.29189745), ('Arrest', 0.28138906), ('Assault', 0.26421618)]
RoadAccidents017_x264: [('Vandalism', 0.5810387), ('Burglary', 0.56668496), ('Road Accidents', 0.5456195), ('Shoplifting', 0.50093055), ('Arson', 0.4783889), ('Normal Videos', 0.4646299), ('Robbery', 0.45690542), ('Explosion', 0.44218946), ('Shooting', 0.3925856), ('Fighting', 0.39103168), ('Abuse', 0.37884027), ('Arrest', 0.37385452), ('Stealing', 0.37065768), ('Assault', 0.36001274)]
RoadAccidents065_x264: [('Vandalism', 0.7124354), ('Burglary', 0.6646208), ('Road Accidents', 0.6582974), ('Shoplifting', 0.6445771), ('Normal Videos', 0.6163043), ('Robbery', 0.61420774), ('Arson', 0.60436857), ('Explosion', 0.5921473), ('Fighting', 0.5612537), ('Abuse', 0.5592642), ('Stealing', 0.55325675), ('Shooting', 0.5525362), ('Arrest', 0.5436857), ('Assault', 0.5393078)]
RoadAccidents033_x264: [('Road Accidents', 0.6669152), ('Burglary', 0.6500621), ('Vandalism', 0.64607954), ('Arson', 0.622239), ('Normal Videos', 0.6132965), ('Shoplifting', 0.6120586), ('Robbery', 0.59845585), ('Explosion', 0.59467685), ('Shooting', 0.57595736), ('Fighting', 0.5726223), ('Abuse', 0.5609714), ('Stealing', 0.55543584), ('Arrest', 0.5500032), ('Assault', 0.544345)]
RoadAccidents143_x264: [('Vandalism', 0.612243), ('Burglary', 0.6103134), ('Road Accidents', 0.59006), ('Shoplifting', 0.5547141), ('Arson', 0.54509723), ('Normal Videos', 0.5259241), ('Robbery', 0.52062297), ('Explosion', 0.51117533), ('Fighting', 0.475185), ('Shooting', 0.47050697), ('Abuse', 0.46377516), ('Stealing', 0.45621258), ('Arrest', 0.45074853), ('Assault', 0.4443019)]
RoadAccidents114_x264: [('Vandalism', 0.48009247), ('Burglary', 0.4476877), ('Road Accidents', 0.4467932), ('Shoplifting', 0.4440919), ('Arson', 0.40667522), ('Normal Videos', 0.38683176), ('Robbery', 0.3773308), ('Explosion', 0.34596246), ('Fighting', 0.3236761), ('Shooting', 0.31377262), ('Abuse', 0.31327176), ('Stealing', 0.3000595), ('Arrest', 0.29193473), ('Assault', 0.28540367)]
RoadAccidents027_x264: [('Road Accidents', 0.7974223), ('Burglary', 0.7778218), ('Vandalism', 0.77395546), ('Normal Videos', 0.7604554), ('Explosion', 0.75479746), ('Arson', 0.73793626), ('Shooting', 0.7352545), ('Fighting', 0.7317078), ('Abuse', 0.7198627), ('Arrest', 0.71658415), ('Assault', 0.71525), ('Robbery', 0.70502114), ('Stealing', 0.7014048), ('Shoplifting', 0.6672504)]
RoadAccidents149_x264: [('Road Accidents', 0.6638878), ('Vandalism', 0.62872374), ('Burglary', 0.6272652), ('Normal Videos', 0.60879827), ('Arson', 0.6018173), ('Explosion', 0.5973451), ('Fighting', 0.58775485), ('Shoplifting', 0.5786237), ('Robbery', 0.57683086), ('Shooting', 0.5759115), ('Abuse', 0.5736667), ('Assault', 0.5600884), ('Arrest', 0.5596217), ('Stealing', 0.55786395)]
RoadAccidents131_x264: [('Vandalism', 0.4997357), ('Road Accidents', 0.49534386), ('Burglary', 0.47750977), ('Shoplifting', 0.47350508), ('Arson', 0.4500664), ('Normal Videos', 0.4373169), ('Robbery', 0.421846), ('Explosion', 0.39028946), ('Fighting', 0.37471184), ('Shooting', 0.36920214), ('Abuse', 0.35456443), ('Stealing', 0.34811285), ('Arrest', 0.34681213), ('Assault', 0.34038523)]
RoadAccidents096_x264: [('Vandalism', 0.4808125), ('Shoplifting', 0.4573933), ('Burglary', 0.4333635), ('Road Accidents', 0.4219916), ('Arson', 0.37941766), ('Robbery', 0.36375284), ('Normal Videos', 0.35780522), ('Explosion', 0.312157), ('Fighting', 0.26889998), ('Shooting', 0.26816934), ('Abuse', 0.26606017), ('Stealing', 0.2606734), ('Arrest', 0.24971937), ('Assault', 0.23644517)]
RoadAccidents119_x264: [('Road Accidents', 0.552114), ('Burglary', 0.5518893), ('Vandalism', 0.55037475), ('Arson', 0.51999116), ('Shoplifting', 0.5183251), ('Normal Videos', 0.508352), ('Robbery', 0.48227903), ('Explosion', 0.47631124), ('Fighting', 0.457013), ('Shooting', 0.4532048), ('Abuse', 0.4366571), ('Stealing', 0.43017477), ('Arrest', 0.4261256), ('Assault', 0.42540208)]
RoadAccidents135_x264: [('Vandalism', 0.5742196), ('Road Accidents', 0.56696236), ('Burglary', 0.55810916), ('Shoplifting', 0.5228291), ('Arson', 0.5016035), ('Normal Videos', 0.49807847), ('Robbery', 0.47700444), ('Explosion', 0.46196336), ('Shooting', 0.4445045), ('Fighting', 0.4415099), ('Abuse', 0.429785), ('Arrest', 0.41429743), ('Stealing', 0.41417992), ('Assault', 0.41149402)]
RoadAccidents075_x264: [('Road Accidents', 0.67384577), ('Vandalism', 0.6730697), ('Burglary', 0.6611006), ('Normal Videos', 0.6437427), ('Arson', 0.6096472), ('Explosion', 0.60534203), ('Robbery', 0.6032246), ('Shoplifting', 0.5970365), ('Shooting', 0.5885532), ('Fighting', 0.58264494), ('Abuse', 0.5749451), ('Arrest', 0.56763196), ('Stealing', 0.5647956), ('Assault', 0.55801284)]
RoadAccidents042_x264: [('Road Accidents', 0.6964779), ('Vandalism', 0.6942553), ('Burglary', 0.6831579), ('Arson', 0.643244), ('Normal Videos', 0.64046097), ('Explosion', 0.6193354), ('Robbery', 0.60418344), ('Shoplifting', 0.5983431), ('Shooting', 0.59346366), ('Fighting', 0.58042914), ('Abuse', 0.57673824), ('Arrest', 0.5693027), ('Assault', 0.5641351), ('Stealing', 0.5594518)]
RoadAccidents094_x264: [('Vandalism', 0.45032105), ('Shoplifting', 0.40089858), ('Burglary', 0.39494705), ('Road Accidents', 0.3906836), ('Arson', 0.34963384), ('Normal Videos', 0.33143878), ('Robbery', 0.31412184), ('Explosion', 0.29191178), ('Fighting', 0.25294638), ('Abuse', 0.24851528), ('Shooting', 0.2441169), ('Stealing', 0.23555107), ('Arrest', 0.22487587), ('Assault', 0.22429192)]
RoadAccidents048_x264: [('Road Accidents', 0.56522655), ('Vandalism', 0.5604929), ('Burglary', 0.5480142), ('Normal Videos', 0.5355649), ('Shoplifting', 0.5166801), ('Arson', 0.51423305), ('Explosion', 0.48831183), ('Robbery', 0.48506474), ('Shooting', 0.4721108), ('Fighting', 0.47194564), ('Abuse', 0.45248216), ('Arrest', 0.4429723), ('Stealing', 0.44174638), ('Assault', 0.44135237)]
RoadAccidents007_x264: [('Burglary', 0.52637506), ('Vandalism', 0.5233928), ('Road Accidents', 0.5132495), ('Shoplifting', 0.5039175), ('Arson', 0.4637224), ('Normal Videos', 0.45063466), ('Robbery', 0.44839612), ('Explosion', 0.4116815), ('Fighting', 0.39107352), ('Shooting', 0.38258818), ('Abuse', 0.3716245), ('Stealing', 0.36945027), ('Arrest', 0.35666254), ('Assault', 0.3456146)]
RoadAccidents071_x264: [('Vandalism', 0.53036004), ('Burglary', 0.5174118), ('Road Accidents', 0.50619626), ('Shoplifting', 0.4802886), ('Arson', 0.45526803), ('Normal Videos', 0.42965084), ('Robbery', 0.42239085), ('Explosion', 0.39007813), ('Shooting', 0.36497724), ('Fighting', 0.36099783), ('Abuse', 0.34926453), ('Stealing', 0.34016535), ('Arrest', 0.3390833), ('Assault', 0.33013505)]
RoadAccidents144_x264: [('Road Accidents', 0.5545505), ('Burglary', 0.53788877), ('Vandalism', 0.5314544), ('Arson', 0.5234654), ('Normal Videos', 0.49668866), ('Shoplifting', 0.496655), ('Robbery', 0.4685232), ('Explosion', 0.46234387), ('Fighting', 0.4469514), ('Shooting', 0.4410385), ('Abuse', 0.42133367), ('Assault', 0.4181149), ('Arrest', 0.41748184), ('Stealing', 0.4145189)]
RoadAccidents046_x264: [('Vandalism', 0.5790035), ('Burglary', 0.57327616), ('Road Accidents', 0.5422355), ('Arson', 0.50113046), ('Shoplifting', 0.49542597), ('Normal Videos', 0.48996234), ('Robbery', 0.47052225), ('Explosion', 0.46476248), ('Fighting', 0.423809), ('Shooting', 0.41913635), ('Abuse', 0.4131198), ('Arrest', 0.40576237), ('Stealing', 0.40343076), ('Assault', 0.39500546)]
RoadAccidents070_x264: [('Vandalism', 0.6367928), ('Burglary', 0.6089833), ('Road Accidents', 0.59468496), ('Shoplifting', 0.58842623), ('Robbery', 0.5389258), ('Arson', 0.53460956), ('Normal Videos', 0.53396845), ('Explosion', 0.49893534), ('Fighting', 0.47965878), ('Shooting', 0.47422418), ('Abuse', 0.46767133), ('Stealing', 0.45730785), ('Arrest', 0.44626182), ('Assault', 0.43990934)]
RoadAccidents087_x264: [('Road Accidents', 0.5177516), ('Burglary', 0.5161774), ('Vandalism', 0.5123397), ('Shoplifting', 0.4896741), ('Arson', 0.48829955), ('Normal Videos', 0.48709828), ('Robbery', 0.45333242), ('Explosion', 0.4447182), ('Shooting', 0.42001593), ('Fighting', 0.41529614), ('Abuse', 0.40797058), ('Stealing', 0.40043777), ('Arrest', 0.39861405), ('Assault', 0.39346248)]
RoadAccidents061_x264: [('Road Accidents', 0.57041585), ('Burglary', 0.5571762), ('Vandalism', 0.5569775), ('Arson', 0.5530709), ('Normal Videos', 0.541732), ('Shoplifting', 0.5113307), ('Explosion', 0.5049851), ('Robbery', 0.48894292), ('Fighting', 0.48726934), ('Shooting', 0.4819662), ('Abuse', 0.46204787), ('Stealing', 0.45721436), ('Arrest', 0.45328566), ('Assault', 0.45057744)]
RoadAccidents005_x264: [('Road Accidents', 0.7169111), ('Burglary', 0.7048652), ('Vandalism', 0.6974363), ('Normal Videos', 0.68317395), ('Arson', 0.6660122), ('Explosion', 0.6613128), ('Robbery', 0.63351923), ('Shooting', 0.6296396), ('Fighting', 0.62468517), ('Shoplifting', 0.61774343), ('Abuse', 0.6098545), ('Assault', 0.600837), ('Arrest', 0.6002339), ('Stealing', 0.5977711)]
RoadAccidents098_x264: [('Road Accidents', 0.5064087), ('Vandalism', 0.49718565), ('Burglary', 0.4927739), ('Shoplifting', 0.47454298), ('Arson', 0.45240495), ('Normal Videos', 0.43218172), ('Robbery', 0.42432013), ('Explosion', 0.40422344), ('Fighting', 0.37373632), ('Shooting', 0.3685454), ('Abuse', 0.36777362), ('Stealing', 0.35509712), ('Arrest', 0.34674716), ('Assault', 0.33993506)]
RoadAccidents118_x264: [('Shoplifting', 0.41459882), ('Vandalism', 0.40359876), ('Burglary', 0.3616321), ('Road Accidents', 0.33573943), ('Robbery', 0.3191313), ('Arson', 0.31194398), ('Normal Videos', 0.30392578), ('Explosion', 0.24101116), ('Stealing', 0.20848322), ('Fighting', 0.20680961), ('Abuse', 0.1951757), ('Shooting', 0.19492938), ('Arrest', 0.17596805), ('Assault', 0.15797837)]
RoadAccidents002_x264: [('Vandalism', 0.6928624), ('Road Accidents', 0.6865654), ('Burglary', 0.6808589), ('Normal Videos', 0.6160027), ('Explosion', 0.6097788), ('Shoplifting', 0.60952425), ('Arson', 0.609149), ('Robbery', 0.5876674), ('Fighting', 0.5635694), ('Abuse', 0.5542326), ('Shooting', 0.55304265), ('Stealing', 0.53866553), ('Arrest', 0.53490824), ('Assault', 0.53235567)]
RoadAccidents056_x264: [('Vandalism', 0.53432786), ('Burglary', 0.49889904), ('Road Accidents', 0.49041516), ('Shoplifting', 0.46663558), ('Arson', 0.4364469), ('Normal Videos', 0.42263088), ('Robbery', 0.41859132), ('Explosion', 0.38640827), ('Shooting', 0.35890508), ('Fighting', 0.3547821), ('Abuse', 0.34594476), ('Arrest', 0.3347217), ('Stealing', 0.3344568), ('Assault', 0.32345542)]
